,celltype
HP1504101T2D_L24,gamma
HP1504101T2D_B12,gamma
HP1504101T2D_E8,gamma
HP1504101T2D_L1,gamma
HP1504101T2D_J3,gamma
HP1504101T2D_G21,gamma
HP1504101T2D_D15,gamma
HP1504101T2D_D23,gamma
HP1504101T2D_H1,gamma
HP1504101T2D_D12,gamma
HP1504101T2D_F13,gamma
HP1504101T2D_J9,gamma
HP1504101T2D_H24,gamma
HP1504101T2D_E20,gamma
HP1504101T2D_P12,gamma
HP1504101T2D_J22,gamma
HP1504101T2D_O11,gamma
HP1504101T2D_J5,gamma
HP1504101T2D_G8,gamma
HP1504101T2D_D11,gamma
HP1504101T2D_O23,gamma
HP1504101T2D_F20,gamma
HP1504101T2D_M3,gamma
HP1504101T2D_N16,gamma
HP1504101T2D_A18,gamma
HP1504101T2D_F16,gamma
HP1504901_L12,gamma
HP1504901_N9,gamma
HP1504901_F15,gamma
HP1504901_G20,gamma
HP1504901_H19,gamma
HP1504901_B8,gamma
HP1504901_O1,gamma
HP1504901_F18,gamma
HP1504901_H14,gamma
HP1504901_F1,gamma
HP1504901_B20,gamma
HP1504901_O21,gamma
HP1504901_A5,gamma
HP1504901_L18,gamma
HP1504901_D9,gamma
HP1504901_K14,gamma
HP1504901_N15,gamma
HP1504901_B23,gamma
HP1504901_O5,gamma
HP1504901_J9,gamma
HP1504901_M4,gamma
HP1504901_B6,gamma
HP1504901_E23,gamma
HP1504901_O24,gamma
HP1504901_L3,gamma
HP1504901_I18,gamma
HP1504901_D24,gamma
HP1504901_I22,gamma
HP1504901_C14,gamma
HP1504901_C23,gamma
HP1504901_L9,gamma
HP1504901_N23,gamma
HP1506401_I2,gamma
HP1506401_I1,gamma
HP1506401_E3,gamma
HP1506401_B22,gamma
HP1506401_N7,gamma
HP1506401_I14,gamma
HP1506401_G8,gamma
HP1506401_H12,gamma
HP1506401_E12,gamma
HP1506401_B4,gamma
HP1506401_K23,gamma
HP1506401_I17,gamma
HP1506401_H11,gamma
HP1506401_F14,gamma
HP1506401_K22,gamma
HP1506401_O6,gamma
HP1506401_D9,gamma
HP1506401_L17,gamma
HP1506401_M6,gamma
HP1506401_B3,gamma
HP1506401_M24,gamma
HP1506401_H19,gamma
HP1507101_J9,gamma
HP1507101_D19,gamma
HP1507101_M22,gamma
HP1507101_B20,gamma
HP1507101_F9,gamma
HP1508501T2D_A19,gamma
HP1508501T2D_K16,gamma
HP1508501T2D_H18,gamma
HP1508501T2D_J17,gamma
HP1508501T2D_B10,gamma
HP1508501T2D_N18,gamma
HP1508501T2D_F11,gamma
HP1508501T2D_G22,gamma
HP1508501T2D_P4,gamma
HP1509101_F21,gamma
HP1509101_O8,gamma
HP1509101_G8,gamma
HP1509101_K8,gamma
HP1525301T2D_E19,gamma
HP1525301T2D_B5,gamma
HP1525301T2D_E3,gamma
HP1525301T2D_G23,gamma
HP1525301T2D_J18,gamma
HP1525301T2D_B8,gamma
HP1525301T2D_A16,gamma
HP1525301T2D_D12,gamma
HP1525301T2D_N21,gamma
HP1525301T2D_O11,gamma
HP1526901T2D_K12,gamma
HP1526901T2D_A20,gamma
HP1526901T2D_C13,gamma
HP1526901T2D_C19,gamma
HP1526901T2D_H23,gamma
HP1526901T2D_K11,gamma
HP1526901T2D_L14,gamma
HP1526901T2D_L7,gamma
HP1526901T2D_G1,gamma
HP1526901T2D_N18,gamma
HP1526901T2D_H16,gamma
HP1526901T2D_K21,gamma
HP1526901T2D_P23,gamma
HP1526901T2D_N20,gamma
HP1526901T2D_I24,gamma
HP1526901T2D_A15,gamma
HP1526901T2D_D10,gamma
HP1526901T2D_O3,gamma
HP1526901T2D_E4,gamma
HP1526901T2D_F12,gamma
HP1526901T2D_O10,gamma
HP1526901T2D_E10,gamma
HP1526901T2D_L12,gamma
HP1526901T2D_M22,gamma
HP1526901T2D_F20,gamma
HP1526901T2D_G19,gamma
HP1526901T2D_D14,gamma
HP1526901T2D_E5,gamma
HP1526901T2D_G9,gamma
HP1526901T2D_B13,gamma
HP1526901T2D_H3,gamma
HP1526901T2D_J17,gamma
HP1526901T2D_N19,gamma
HP1526901T2D_M3,gamma
HP1526901T2D_F7,gamma
D101_7,acinar
D101_50,acinar
D101_51,acinar
D101_52,acinar
D101_74,acinar
D101_82,acinar
D102_26,acinar
D102_51,acinar
D102_54,acinar
D102_69,acinar
D102_71,acinar
D102_76,acinar
D102_91,acinar
D10631_15,acinar
D10631_17,acinar
D10631_38,acinar
D10631_48,acinar
D10631_50,acinar
D10631_53,acinar
D10631_54,acinar
D10631_57,acinar
D10631_66,acinar
D10631_67,acinar
D10631_69,acinar
D10631_91,acinar
D10631_95,acinar
D10631_96,acinar
D1713_8,acinar
D1713_15,acinar
D1713_16,acinar
D1713_27,acinar
D1713_29,acinar
D1713_33,acinar
D1713_42,acinar
D1713_50,acinar
D1713_58,acinar
D1713_61,acinar
D1713_63,acinar
D1713_67,acinar
D1713_68,acinar
D1713_69,acinar
D1713_70,acinar
D1713_71,acinar
D1713_72,acinar
D1713_80,acinar
D1713_89,acinar
D1713_91,acinar
D172444_19,acinar
D17All1_36,acinar
D17All1_50,acinar
D17All1_52,acinar
D17All1_69,acinar
D17All1_92,acinar
D17All2_3,acinar
D17All2_79,acinar
D17TGFB_4,acinar
D17TGFB_6,acinar
D17TGFB_8,acinar
D17TGFB_9,acinar
D17TGFB_10,acinar
D17TGFB_12,acinar
D17TGFB_14,acinar
D17TGFB_17,acinar
D17TGFB_21,acinar
D17TGFB_22,acinar
D17TGFB_23,acinar
D17TGFB_26,acinar
D17TGFB_31,acinar
D17TGFB_32,acinar
D17TGFB_33,acinar
D17TGFB_36,acinar
D17TGFB_38,acinar
D17TGFB_39,acinar
D17TGFB_41,acinar
D17TGFB_43,acinar
D17TGFB_44,acinar
D17TGFB_45,acinar
D17TGFB_47,acinar
D17TGFB_49,acinar
D17TGFB_51,acinar
D17TGFB_54,acinar
D17TGFB_56,acinar
D17TGFB_57,acinar
D17TGFB_58,acinar
D17TGFB_59,acinar
D17TGFB_61,acinar
D17TGFB_66,acinar
D17TGFB_67,acinar
D17TGFB_71,acinar
D17TGFB_74,acinar
D17TGFB_76,acinar
D17TGFB_80,acinar
D17TGFB_85,acinar
D17TGFB_89,acinar
D17TGFB_92,acinar
D17TGFB_93,acinar
D2ex_1,acinar
D2ex_2,acinar
D2ex_3,acinar
D2ex_10,acinar
D2ex_13,acinar
D2ex_15,acinar
D2ex_16,acinar
D2ex_18,acinar
D2ex_21,acinar
D2ex_24,acinar
D2ex_26,acinar
D2ex_28,acinar
D2ex_34,acinar
D2ex_37,acinar
D2ex_40,acinar
D2ex_41,acinar
D2ex_42,acinar
D2ex_44,acinar
D2ex_46,acinar
D2ex_51,acinar
D2ex_59,acinar
D2ex_61,acinar
D2ex_66,acinar
D2ex_69,acinar
D2ex_70,acinar
D2ex_76,acinar
D2ex_79,acinar
D2ex_86,acinar
D2ex_92,acinar
D3en1_1,acinar
D3en1_5,acinar
D3en1_10,acinar
D3en1_11,acinar
D3en1_13,acinar
D3en1_26,acinar
D3en1_37,acinar
D3en1_41,acinar
D3en1_45,acinar
D3en1_48,acinar
D3en1_49,acinar
D3en1_56,acinar
D3en1_68,acinar
D3en1_73,acinar
D3en1_84,acinar
D3en2_5,acinar
D3en2_6,acinar
D3en2_16,acinar
D3en2_21,acinar
D3en2_23,acinar
D3en2_25,acinar
D3en2_26,acinar
D3en2_27,acinar
D3en2_31,acinar
D3en2_32,acinar
D3en2_33,acinar
D3en2_37,acinar
D3en2_39,acinar
D3en2_42,acinar
D3en2_45,acinar
D3en2_48,acinar
D3en2_57,acinar
D3en2_66,acinar
D3en2_72,acinar
D3en2_74,acinar
D3en2_90,acinar
D3en3_2,acinar
D3en3_9,acinar
D3en3_39,acinar
D3en3_46,acinar
D3en3_50,acinar
D3en3_64,acinar
D3en3_68,acinar
D3en3_72,acinar
D3en3_89,acinar
D3en4_7,acinar
D3en4_8,acinar
D3en4_9,acinar
D3en4_12,acinar
D3en4_14,acinar
D3en4_20,acinar
D3en4_25,acinar
D3en4_26,acinar
D3en4_30,acinar
D3en4_31,acinar
D3en4_32,acinar
D3en4_35,acinar
D3en4_39,acinar
D3en4_42,acinar
D3en4_46,acinar
D3en4_48,acinar
D3en4_54,acinar
D3en4_60,acinar
D3en4_68,acinar
D3en4_69,acinar
D3en4_72,acinar
D3en4_83,acinar
D3en4_87,acinar
D3en4_92,acinar
D3ex_5,acinar
D3ex_6,acinar
D3ex_36,acinar
D3ex_68,acinar
D3ex_71,acinar
D3ex_74,acinar
D3ex_76,acinar
D3ex_83,acinar
D71_2,acinar
D71_5,acinar
D71_10,acinar
D71_16,acinar
D71_34,acinar
D71_39,acinar
D71_78,acinar
D71_92,acinar
D72_1,acinar
D72_18,acinar
D72_22,acinar
D72_33,acinar
D72_40,acinar
D72_95,acinar
D73_35,acinar
D73_37,acinar
D73_43,acinar
D73_48,acinar
D73_52,acinar
D73_68,acinar
D73_83,acinar
D74_14,acinar
D74_62,acinar
D74_76,acinar
D74_81,acinar
D74_90,acinar
D28-1_37,acinar
D28-1_38,acinar
D28-1_50,acinar
D28-1_55,acinar
D28-1_62,acinar
D28-1_67,acinar
D28-1_68,acinar
D28-1_86,acinar
D28-1_87,acinar
D28-2_1,acinar
D28-2_4,acinar
D28-2_15,acinar
D28-2_18,acinar
D28-2_39,acinar
D28-2_42,acinar
D28-2_49,acinar
D28-2_53,acinar
D28-2_61,acinar
D28-2_74,acinar
D28-2_75,acinar
D28-2_78,acinar
D28-2_86,acinar
D28-2_87,acinar
D28-2_89,acinar
D28-3_4,acinar
D28-3_25,acinar
D28-3_26,acinar
D28-3_28,acinar
D28-3_31,acinar
D28-3_44,acinar
D28-3_51,acinar
D28-3_52,acinar
D28-3_62,acinar
D28-3_65,acinar
D28-3_75,acinar
D28-3_77,acinar
D28-3_85,acinar
D28-3_90,acinar
D28-3_91,acinar
D28-4_4,acinar
D28-4_17,acinar
D28-4_28,acinar
D28-4_40,acinar
D28-4_49,acinar
D28-4_51,acinar
D28-4_53,acinar
D28-4_54,acinar
D28-4_61,acinar
D28-4_63,acinar
D28-4_67,acinar
D28-4_75,acinar
D28-4_85,acinar
D28-4_86,acinar
D28-4_89,acinar
D28-5_3,acinar
D28-5_17,acinar
D28-5_27,acinar
D28-5_29,acinar
D28-5_31,acinar
D28-5_37,acinar
D28-5_38,acinar
D28-5_42,acinar
D28-5_54,acinar
D28-5_62,acinar
D28-5_63,acinar
D28-5_77,acinar
D28-5_78,acinar
D28-6_2,acinar
D28-6_4,acinar
D28-6_14,acinar
D28-6_19,acinar
D28-6_38,acinar
D28-6_41,acinar
D28-6_42,acinar
D28-6_50,acinar
D28-6_51,acinar
D28-6_61,acinar
D28-6_62,acinar
D28-6_63,acinar
D28-6_66,acinar
D28-6_73,acinar
D28-6_74,acinar
D28-6_76,acinar
D28-6_89,acinar
D28-7_1,acinar
D28-7_37,acinar
D28-7_39,acinar
D28-7_41,acinar
D28-7_51,acinar
D28-7_52,acinar
D28-7_62,acinar
D28-7_64,acinar
D28-7_75,acinar
D28-7_78,acinar
D28-8_6,acinar
D28-8_39,acinar
D28-8_49,acinar
D28-8_53,acinar
D28-8_63,acinar
D28-8_75,acinar
D28-8_77,acinar
D29-1_68,acinar
D29-5_73,acinar
D29-5_78,acinar
D29-7_5,acinar
D29-7_49,acinar
D30-1_1,acinar
D30-1_19,acinar
D30-1_29,acinar
D30-1_30,acinar
D30-1_36,acinar
D30-1_55,acinar
D30-1_61,acinar
D30-1_63,acinar
D30-1_72,acinar
D30-1_91,acinar
D30-2_1,acinar
D30-2_11,acinar
D30-2_17,acinar
D30-2_27,acinar
D30-2_41,acinar
D30-2_42,acinar
D30-2_43,acinar
D30-2_45,acinar
D30-2_51,acinar
D30-2_53,acinar
D30-2_56,acinar
D30-2_76,acinar
D30-3_2,acinar
D30-3_45,acinar
D30-3_63,acinar
D30-3_91,acinar
D30-4_18,acinar
D30-4_23,acinar
D30-4_62,acinar
D30-4_81,acinar
D30-4_82,acinar
D30-5_36,acinar
D30-5_45,acinar
D30-5_79,acinar
D30-5_89,acinar
D30-6_5,acinar
D30-6_37,acinar
D30-6_40,acinar
D30-6_44,acinar
D30-6_80,acinar
D30-7_1,acinar
D30-7_11,acinar
D30-7_20,acinar
D30-7_24,acinar
D30-7_28,acinar
D30-7_39,acinar
D30-7_91,acinar
D30-8_24,acinar
D30-8_33,acinar
D30-8_36,acinar
D30-8_37,acinar
D30-8_63,acinar
D30-8_65,acinar
D30-8_69,acinar
D30-8_81,acinar
D30-8_84,acinar
D31-1_5,acinar
D31-1_7,acinar
D31-1_9,acinar
D31-1_11,acinar
D31-1_19,acinar
D31-1_21,acinar
D31-1_22,acinar
D31-1_25,acinar
D31-1_27,acinar
D31-1_44,acinar
D31-1_45,acinar
D31-1_48,acinar
D31-1_51,acinar
D31-1_58,acinar
D31-1_70,acinar
D31-1_88,acinar
D31-2_6,acinar
D31-2_15,acinar
D31-2_18,acinar
D31-2_26,acinar
D31-2_30,acinar
D31-2_38,acinar
D31-2_53,acinar
D31-2_61,acinar
D31-2_69,acinar
D31-2_75,acinar
D31-2_83,acinar
D31-2_86,acinar
D31-2_87,acinar
D31-3_1,acinar
D31-3_14,acinar
D31-3_23,acinar
D31-3_25,acinar
D31-3_26,acinar
D31-3_36,acinar
D31-3_40,acinar
D31-3_47,acinar
D31-3_48,acinar
D31-3_53,acinar
D31-3_60,acinar
D31-3_63,acinar
D31-3_64,acinar
D31-3_69,acinar
D31-3_73,acinar
D31-3_78,acinar
D31-3_86,acinar
D31-3_89,acinar
D31-4_9,acinar
D31-4_13,acinar
D31-4_14,acinar
D31-4_36,acinar
D31-4_41,acinar
D31-4_43,acinar
D31-4_48,acinar
D31-4_55,acinar
D31-4_70,acinar
D31-4_72,acinar
D31-4_79,acinar
D31-4_90,acinar
D31-4_91,acinar
D31-4_93,acinar
D31-5_1,acinar
D31-5_4,acinar
D31-5_16,acinar
D31-5_34,acinar
D31-5_39,acinar
D31-5_45,acinar
D31-5_48,acinar
D31-5_57,acinar
D31-5_60,acinar
D31-5_69,acinar
D31-5_70,acinar
D31-5_75,acinar
D31-5_89,acinar
D31-5_92,acinar
D31-6_9,acinar
D31-6_11,acinar
D31-6_13,acinar
D31-6_21,acinar
D31-6_24,acinar
D31-6_29,acinar
D31-6_33,acinar
D31-6_39,acinar
D31-6_40,acinar
D31-6_43,acinar
D31-6_52,acinar
D31-6_53,acinar
D31-6_61,acinar
D31-6_62,acinar
D31-6_66,acinar
D31-6_69,acinar
D31-6_75,acinar
D31-6_81,acinar
D31-6_86,acinar
D31-7_9,acinar
D31-7_11,acinar
D31-7_21,acinar
D31-7_38,acinar
D31-7_58,acinar
D31-7_63,acinar
D31-7_70,acinar
D31-7_77,acinar
D31-8_4,acinar
D31-8_7,acinar
D31-8_11,acinar
D31-8_27,acinar
D31-8_40,acinar
D31-8_53,acinar
D31-8_63,acinar
D31-8_81,acinar
D31-8_89,acinar
D31-8_91,acinar
10th_C42_S109,acinar
10th_C63_S82,acinar
10th_C86_S78,acinar
10th_C87_S71,acinar
11th-C64_S72,acinar
12th-C53_S168,acinar
13th_C27_S151,acinar
4th-C27_S51,acinar
4th-C95_S95,acinar
5th-C10_S92,acinar
5th-C19_S104,acinar
5th-C40_S112,acinar
5th-C42_S114,acinar
5th-C45_S123,acinar
5th-C50_S90,acinar
5th-C54_S89,acinar
5th-C56_S95,acinar
5th-C58_S93,acinar
5th-C73_S111,acinar
5th-C81_S115,acinar
5th-C88_S117,acinar
AZ_B8,acinar
AZ_A7,acinar
AZ_H10,acinar
AZ_F6,acinar
HP1502401_A14,acinar
HP1502401_I14,acinar
HP1502401_F13,acinar
HP1502401_G18,acinar
HP1502401_N2,acinar
HP1502401_O14,acinar
HP1502401_B17,acinar
HP1502401_M8,acinar
HP1502401_K10,acinar
HP1502401_D10,acinar
HP1502401_D11,acinar
HP1502401_A22,acinar
HP1502401_K12,acinar
HP1502401_D2,acinar
HP1502401_E23,acinar
HP1502401_E24,acinar
HP1502401_E2,acinar
HP1502401_C1,acinar
HP1502401_J2,acinar
HP1502401_M22,acinar
HP1502401_E20,acinar
HP1504101T2D_L14,acinar
HP1504101T2D_K19,acinar
HP1504101T2D_I6,acinar
HP1504101T2D_A10,acinar
HP1504101T2D_C11,acinar
HP1504101T2D_K10,acinar
HP1504101T2D_J16,acinar
HP1504101T2D_F1,acinar
HP1504901_F23,acinar
HP1504901_D13,acinar
HP1504901_O4,acinar
HP1504901_H16,acinar
HP1506401_K2,acinar
HP1506401_M1,acinar
HP1506401_D14,acinar
HP1506401_A9,acinar
HP1506401_J9,acinar
HP1506401_N1,acinar
HP1506401_G14,acinar
HP1506401_O16,acinar
HP1506401_D3,acinar
HP1506401_E23,acinar
HP1506401_N9,acinar
HP1506401_L19,acinar
HP1506401_H15,acinar
HP1506401_H16,acinar
HP1506401_C24,acinar
HP1506401_N21,acinar
HP1506401_J2,acinar
HP1506401_B1,acinar
HP1506401_I15,acinar
HP1506401_M3,acinar
HP1506401_D24,acinar
HP1506401_J24,acinar
HP1506401_J6,acinar
HP1506401_N5,acinar
HP1506401_E20,acinar
HP1506401_F16,acinar
HP1506401_M18,acinar
HP1506401_I13,acinar
HP1506401_L18,acinar
HP1506401_H18,acinar
HP1506401_F2,acinar
HP1506401_M4,acinar
HP1506401_J3,acinar
HP1506401_L22,acinar
HP1506401_N24,acinar
HP1506401_M19,acinar
HP1506401_J23,acinar
HP1506401_D23,acinar
HP1506401_B5,acinar
HP1506401_K6,acinar
HP1506401_O21,acinar
HP1506401_L9,acinar
HP1506401_E18,acinar
HP1506401_G4,acinar
HP1506401_D12,acinar
HP1506401_B14,acinar
HP1506401_P17,acinar
HP1506401_B16,acinar
HP1506401_I6,acinar
HP1506401_K15,acinar
HP1506401_C13,acinar
HP1506401_O7,acinar
HP1506401_K14,acinar
HP1506401_M17,acinar
HP1506401_J14,acinar
HP1506401_N15,acinar
HP1506401_O18,acinar
HP1506401_G15,acinar
HP1506401_F5,acinar
HP1506401_L3,acinar
HP1506401_A7,acinar
HP1506401_M8,acinar
HP1506401_A6,acinar
HP1506401_F3,acinar
HP1506401_E24,acinar
HP1506401_J15,acinar
HP1506401_I10,acinar
HP1506401_G16,acinar
HP1506401_P23,acinar
HP1506401_B6,acinar
HP1506401_N22,acinar
HP1506401_C7,acinar
HP1506401_C23,acinar
HP1506401_H1,acinar
HP1506401_N23,acinar
HP1506401_H3,acinar
HP1506401_L11,acinar
HP1506401_E14,acinar
HP1506401_O12,acinar
HP1506401_J11,acinar
HP1506401_P10,acinar
HP1507101_E22,acinar
HP1507101_J7,acinar
HP1507101_L17,acinar
HP1508501T2D_A23,acinar
HP1508501T2D_I24,acinar
HP1508501T2D_J23,acinar
HP1508501T2D_N13,acinar
HP1508501T2D_N24,acinar
HP1508501T2D_O7,acinar
HP1508501T2D_M11,acinar
HP1508501T2D_G12,acinar
HP1508501T2D_M7,acinar
HP1508501T2D_G19,acinar
HP1508501T2D_O13,acinar
HP1508501T2D_M18,acinar
HP1508501T2D_K6,acinar
HP1508501T2D_F21,acinar
HP1508501T2D_H16,acinar
HP1508501T2D_G17,acinar
HP1508501T2D_I10,acinar
HP1508501T2D_E4,acinar
HP1508501T2D_L2,acinar
HP1508501T2D_D9,acinar
HP1508501T2D_G18,acinar
HP1508501T2D_P2,acinar
HP1508501T2D_B14,acinar
HP1508501T2D_D18,acinar
HP1508501T2D_N21,acinar
HP1508501T2D_G23,acinar
HP1508501T2D_I7,acinar
HP1508501T2D_O11,acinar
HP1508501T2D_A11,acinar
HP1509101_B16,acinar
HP1509101_F18,acinar
HP1525301T2D_H9,acinar
HP1525301T2D_J5,acinar
HP1525301T2D_D10,acinar
HP1525301T2D_F10,acinar
HP1525301T2D_J23,acinar
HP1525301T2D_J16,acinar
HP1525301T2D_F5,acinar
HP1525301T2D_E2,acinar
HP1525301T2D_C14,acinar
HP1525301T2D_D6,acinar
HP1525301T2D_O3,acinar
HP1525301T2D_G17,acinar
HP1525301T2D_C23,acinar
HP1525301T2D_L5,acinar
HP1525301T2D_C7,acinar
HP1525301T2D_M5,acinar
HP1525301T2D_N10,acinar
HP1525301T2D_K8,acinar
HP1525301T2D_K7,acinar
HP1525301T2D_K5,acinar
HP1525301T2D_F3,acinar
HP1525301T2D_B12,acinar
HP1526901T2D_N4,acinar
HP1526901T2D_N7,acinar
HP1526901T2D_D7,acinar
HP1526901T2D_K17,acinar
HP1526901T2D_L15,acinar
HP1526901T2D_A6,acinar
HP1526901T2D_I12,acinar
HP1526901T2D_N5,acinar
HP1526901T2D_I17,acinar
HP1526901T2D_M18,acinar
HP1526901T2D_E16,acinar
HP1526901T2D_O19,acinar
HP1526901T2D_C8,acinar
HP1526901T2D_H2,acinar
D101_10,alpha
D101_25,alpha
D101_66,alpha
D101_69,alpha
D101_81,alpha
D101_84,alpha
D101_95,alpha
D102_68,alpha
D102_78,alpha
D102_93,alpha
D10631_29,alpha
D10631_61,alpha
D1713_9,alpha
D1713_21,alpha
D1713_51,alpha
D1713_90,alpha
D172444_4,alpha
D172444_8,alpha
D172444_9,alpha
D172444_10,alpha
D172444_12,alpha
D172444_13,alpha
D172444_14,alpha
D172444_17,alpha
D172444_22,alpha
D172444_25,alpha
D172444_26,alpha
D172444_28,alpha
D172444_29,alpha
D172444_30,alpha
D172444_31,alpha
D172444_32,alpha
D172444_33,alpha
D172444_34,alpha
D172444_35,alpha
D172444_36,alpha
D172444_37,alpha
D172444_38,alpha
D172444_41,alpha
D172444_42,alpha
D172444_43,alpha
D172444_46,alpha
D172444_49,alpha
D172444_52,alpha
D172444_53,alpha
D172444_54,alpha
D172444_56,alpha
D172444_57,alpha
D172444_58,alpha
D172444_60,alpha
D172444_62,alpha
D172444_64,alpha
D172444_66,alpha
D172444_71,alpha
D172444_72,alpha
D172444_73,alpha
D172444_75,alpha
D172444_77,alpha
D172444_78,alpha
D172444_79,alpha
D172444_81,alpha
D172444_83,alpha
D172444_85,alpha
D172444_87,alpha
D172444_88,alpha
D172444_90,alpha
D172444_91,alpha
D172444_92,alpha
D172444_93,alpha
D17All1_1,alpha
D17All1_4,alpha
D17All1_8,alpha
D17All1_10,alpha
D17All1_27,alpha
D17All1_30,alpha
D17All1_42,alpha
D17All1_43,alpha
D17All1_46,alpha
D17All1_49,alpha
