,CellType
430,Excitatory neuron
431,Excitatory neuron
432,Excitatory neuron
433,Excitatory neuron
434,Excitatory neuron
435,Excitatory neuron
436,Excitatory neuron
437,Excitatory neuron
438,Excitatory neuron
439,Excitatory neuron
440,Excitatory neuron
441,Excitatory neuron
442,Excitatory neuron
443,Excitatory neuron
444,Excitatory neuron
445,Excitatory neuron
446,Excitatory neuron
447,Excitatory neuron
448,Excitatory neuron
449,Excitatory neuron
450,Excitatory neuron
451,Excitatory neuron
452,Excitatory neuron
453,Excitatory neuron
454,Excitatory neuron
455,Excitatory neuron
456,Excitatory neuron
457,Excitatory neuron
458,Excitatory neuron
459,Excitatory neuron
460,Excitatory neuron
461,Excitatory neuron
462,Excitatory neuron
463,Excitatory neuron
464,Excitatory neuron
465,Excitatory neuron
466,Excitatory neuron
467,Excitatory neuron
468,Excitatory neuron
469,Excitatory neuron
470,Excitatory neuron
471,Excitatory neuron
472,Excitatory neuron
473,Excitatory neuron
474,Excitatory neuron
475,Excitatory neuron
476,Excitatory neuron
477,Excitatory neuron
478,Excitatory neuron
479,Excitatory neuron
480,Excitatory neuron
481,Excitatory neuron
482,Excitatory neuron
483,Excitatory neuron
484,Excitatory neuron
485,Excitatory neuron
486,Excitatory neuron
487,Excitatory neuron
488,Excitatory neuron
489,Excitatory neuron
490,Excitatory neuron
491,Excitatory neuron
492,Excitatory neuron
493,Excitatory neuron
494,Excitatory neuron
495,Excitatory neuron
496,Excitatory neuron
497,Excitatory neuron
498,Excitatory neuron
499,Excitatory neuron
500,Excitatory neuron
501,Excitatory neuron
502,Excitatory neuron
503,Excitatory neuron
504,Excitatory neuron
505,Excitatory neuron
506,Excitatory neuron
507,Excitatory neuron
508,Excitatory neuron
509,Excitatory neuron
510,Excitatory neuron
511,Excitatory neuron
512,Excitatory neuron
513,Excitatory neuron
514,Excitatory neuron
515,Excitatory neuron
516,Excitatory neuron
517,Excitatory neuron
518,Excitatory neuron
519,Excitatory neuron
520,Excitatory neuron
521,Excitatory neuron
522,Excitatory neuron
523,Excitatory neuron
524,Excitatory neuron
525,Excitatory neuron
526,Excitatory neuron
527,Excitatory neuron
528,Excitatory neuron
529,Excitatory neuron
530,Excitatory neuron
531,Excitatory neuron
532,Excitatory neuron
533,Excitatory neuron
534,Excitatory neuron
535,Excitatory neuron
536,Excitatory neuron
537,Excitatory neuron
538,Excitatory neuron
539,Inhibitory neuron
540,Excitatory neuron
541,Excitatory neuron
542,Excitatory neuron
543,Excitatory neuron
544,Excitatory neuron
545,Excitatory neuron
546,Excitatory neuron
547,Excitatory neuron
548,Excitatory neuron
549,Excitatory neuron
550,Excitatory neuron
551,Excitatory neuron
552,Excitatory neuron
553,Excitatory neuron
554,Excitatory neuron
555,Excitatory neuron
556,Excitatory neuron
557,Excitatory neuron
558,Excitatory neuron
559,Excitatory neuron
560,Excitatory neuron
561,Excitatory neuron
562,Excitatory neuron
563,Inhibitory neuron
564,Inhibitory neuron
565,Inhibitory neuron
566,Inhibitory neuron
567,Inhibitory neuron
568,Inhibitory neuron
569,Inhibitory neuron
570,Inhibitory neuron
571,Inhibitory neuron
572,Inhibitory neuron
573,Inhibitory neuron
574,Inhibitory neuron
575,Inhibitory neuron
576,Inhibitory neuron
577,Inhibitory neuron
578,Inhibitory neuron
579,Inhibitory neuron
580,Inhibitory neuron
581,Inhibitory neuron
582,Inhibitory neuron
583,Inhibitory neuron
584,Inhibitory neuron
585,Inhibitory neuron
586,Inhibitory neuron
587,Inhibitory neuron
588,Inhibitory neuron
589,Inhibitory neuron
590,Inhibitory neuron
591,Inhibitory neuron
592,Inhibitory neuron
593,Inhibitory neuron
594,Inhibitory neuron
595,Inhibitory neuron
596,Inhibitory neuron
597,Inhibitory neuron
598,Inhibitory neuron
599,Inhibitory neuron
600,Inhibitory neuron
601,Inhibitory neuron
602,Inhibitory neuron
603,Inhibitory neuron
604,Inhibitory neuron
605,Inhibitory neuron
606,Inhibitory neuron
607,Inhibitory neuron
608,Inhibitory neuron
609,Inhibitory neuron
610,Inhibitory neuron
611,Inhibitory neuron
612,Inhibitory neuron
613,Inhibitory neuron
614,Inhibitory neuron
615,Inhibitory neuron
616,Inhibitory neuron
617,Inhibitory neuron
618,Inhibitory neuron
619,Inhibitory neuron
620,Inhibitory neuron
621,Inhibitory neuron
622,Inhibitory neuron
623,Inhibitory neuron
624,Inhibitory neuron
625,Inhibitory neuron
626,Inhibitory neuron
627,Inhibitory neuron
628,Inhibitory neuron
629,Inhibitory neuron
630,Inhibitory neuron
631,Inhibitory neuron
632,Inhibitory neuron
633,Inhibitory neuron
634,Inhibitory neuron
635,Inhibitory neuron
636,Inhibitory neuron
637,Inhibitory neuron
638,Inhibitory neuron
639,Inhibitory neuron
640,Inhibitory neuron
641,Inhibitory neuron
642,Inhibitory neuron
643,Inhibitory neuron
644,Inhibitory neuron
645,Inhibitory neuron
646,Inhibitory neuron
647,Inhibitory neuron
648,Inhibitory neuron
649,Inhibitory neuron
650,Inhibitory neuron
651,Inhibitory neuron
652,Inhibitory neuron
653,Inhibitory neuron
654,Inhibitory neuron
655,Inhibitory neuron
656,Inhibitory neuron
657,Inhibitory neuron
658,Inhibitory neuron
659,Inhibitory neuron
660,Inhibitory neuron
661,Inhibitory neuron
662,Inhibitory neuron
663,Inhibitory neuron
664,Inhibitory neuron
665,Inhibitory neuron
666,Inhibitory neuron
667,Inhibitory neuron
668,Inhibitory neuron
669,Inhibitory neuron
670,Inhibitory neuron
671,Inhibitory neuron
672,Inhibitory neuron
673,Inhibitory neuron
674,Inhibitory neuron
675,Inhibitory neuron
676,Inhibitory neuron
677,Inhibitory neuron
678,Inhibitory neuron
679,Inhibitory neuron
680,Inhibitory neuron
681,Inhibitory neuron
682,Inhibitory neuron
683,Inhibitory neuron
684,Inhibitory neuron
685,Inhibitory neuron
686,Inhibitory neuron
687,Inhibitory neuron
688,Inhibitory neuron
689,Inhibitory neuron
690,Inhibitory neuron
691,Inhibitory neuron
692,Inhibitory neuron
693,Inhibitory neuron
694,Inhibitory neuron
695,Inhibitory neuron
696,Inhibitory neuron
697,Inhibitory neuron
698,Inhibitory neuron
699,Astrocyte
700,Astrocyte
701,Astrocyte
702,Astrocyte
703,Astrocyte
704,Astrocyte
705,Astrocyte
706,Astrocyte
707,Astrocyte
708,Astrocyte
709,Astrocyte
710,Astrocyte
711,Astrocyte
712,Astrocyte
713,Astrocyte
714,Astrocyte
715,Astrocyte
716,Astrocyte
717,Astrocyte
718,Astrocyte
719,Astrocyte
720,Astrocyte
721,Astrocyte
722,Astrocyte
723,Astrocyte
724,Astrocyte
725,Astrocyte
726,Astrocyte
727,Astrocyte
728,Astrocyte
729,Astrocyte
730,Astrocyte
731,Astrocyte
732,Astrocyte
733,Astrocyte
734,Astrocyte
735,Astrocyte
736,Astrocyte
737,Astrocyte
738,Astrocyte
739,Astrocyte
740,Astrocyte
741,Astrocyte
742,Astrocyte
743,Astrocyte
744,Astrocyte
745,Astrocyte
746,Astrocyte
747,Astrocyte
748,Astrocyte
749,Astrocyte
750,Astrocyte
751,Astrocyte
752,Astrocyte
753,Astrocyte
754,Astrocyte
755,Astrocyte
756,Astrocyte
757,Astrocyte
758,Astrocyte
759,Astrocyte
760,Astrocyte
761,Astrocyte
762,Astrocyte
763,Astrocyte
764,Astrocyte
765,Astrocyte
766,Astrocyte
767,Astrocyte
768,Astrocyte
769,Astrocyte
770,Astrocyte
771,Astrocyte
772,Astrocyte
773,Astrocyte
774,Astrocyte
775,Astrocyte
776,Astrocyte
777,Astrocyte
778,Astrocyte
779,Astrocyte
780,Astrocyte
781,Astrocyte
782,Astrocyte
783,Astrocyte
784,Astrocyte
785,Astrocyte
786,Astrocyte
787,Astrocyte
788,Astrocyte
789,Astrocyte
790,Astrocyte
791,Astrocyte
792,Astrocyte
793,Astrocyte
794,Astrocyte
795,Astrocyte
796,Astrocyte
797,Astrocyte
798,Astrocyte
799,Astrocyte
800,Astrocyte
801,Astrocyte
802,Astrocyte
803,Astrocyte
804,Astrocyte
805,Astrocyte
806,Excitatory neuron
807,Excitatory neuron
808,Excitatory neuron
809,Excitatory neuron
810,Excitatory neuron
811,Excitatory neuron
812,Excitatory neuron
813,Excitatory neuron
814,Excitatory neuron
815,Excitatory neuron
816,Excitatory neuron
817,Excitatory neuron
818,Excitatory neuron
819,Excitatory neuron
820,Excitatory neuron
821,Excitatory neuron
822,Excitatory neuron
823,Excitatory neuron
824,Excitatory neuron
825,Excitatory neuron
826,Excitatory neuron
827,Excitatory neuron
828,Excitatory neuron
829,Excitatory neuron
830,Excitatory neuron
831,Excitatory neuron
832,Excitatory neuron
833,Excitatory neuron
834,Excitatory neuron
835,Excitatory neuron
836,Excitatory neuron
837,Excitatory neuron
838,Excitatory neuron
839,Excitatory neuron
840,Excitatory neuron
841,Excitatory neuron
842,Excitatory neuron
843,Excitatory neuron
844,Excitatory neuron
845,Excitatory neuron
846,Excitatory neuron
847,Excitatory neuron
848,Excitatory neuron
849,Excitatory neuron
850,Excitatory neuron
851,Excitatory neuron
852,Excitatory neuron
853,Excitatory neuron
854,Excitatory neuron
855,Excitatory neuron
856,Excitatory neuron
857,Excitatory neuron
858,Excitatory neuron
859,Excitatory neuron
860,Excitatory neuron
861,Excitatory neuron
862,Excitatory neuron
863,Excitatory neuron
864,Excitatory neuron
865,Excitatory neuron
866,Excitatory neuron
867,Excitatory neuron
868,Excitatory neuron
869,Excitatory neuron
870,Excitatory neuron
871,Excitatory neuron
872,Excitatory neuron
873,Excitatory neuron
874,Excitatory neuron
875,Excitatory neuron
876,Excitatory neuron
877,Excitatory neuron
878,Excitatory neuron
879,Excitatory neuron
880,Excitatory neuron
881,Excitatory neuron
882,Excitatory neuron
883,Excitatory neuron
884,Excitatory neuron
885,Excitatory neuron
886,Excitatory neuron
887,Excitatory neuron
888,Excitatory neuron
889,Excitatory neuron
890,Excitatory neuron
891,Excitatory neuron
892,Excitatory neuron
893,Excitatory neuron
894,Excitatory neuron
895,Excitatory neuron
896,Excitatory neuron
897,Excitatory neuron
898,Excitatory neuron
899,Excitatory neuron
900,Excitatory neuron
901,Excitatory neuron
902,Excitatory neuron
903,Excitatory neuron
904,Excitatory neuron
905,Excitatory neuron
906,Excitatory neuron
907,Excitatory neuron
908,Excitatory neuron
909,Excitatory neuron
910,Excitatory neuron
911,Excitatory neuron
912,Excitatory neuron
913,Excitatory neuron
914,Excitatory neuron
915,Excitatory neuron
916,Excitatory neuron
917,Excitatory neuron
918,Excitatory neuron
919,Excitatory neuron
920,Excitatory neuron
921,Excitatory neuron
922,Excitatory neuron
923,Excitatory neuron
924,Excitatory neuron
925,Excitatory neuron
926,Excitatory neuron
927,Excitatory neuron
928,Excitatory neuron
929,Excitatory neuron
930,Excitatory neuron
931,Excitatory neuron
932,Excitatory neuron
933,Excitatory neuron
934,Excitatory neuron
935,Excitatory neuron
936,Excitatory neuron
937,Excitatory neuron
938,Excitatory neuron
939,Excitatory neuron
940,Excitatory neuron
941,Excitatory neuron
942,Excitatory neuron
943,Excitatory neuron
944,Excitatory neuron
945,Excitatory neuron
946,Excitatory neuron
947,Excitatory neuron
948,Excitatory neuron
949,Excitatory neuron
950,Excitatory neuron
951,Excitatory neuron
952,Excitatory neuron
953,Excitatory neuron
954,Excitatory neuron
955,Excitatory neuron
956,Excitatory neuron
957,Excitatory neuron
958,Excitatory neuron
959,Excitatory neuron
960,Excitatory neuron
961,Excitatory neuron
962,Excitatory neuron
963,Excitatory neuron
964,Excitatory neuron
965,Excitatory neuron
966,Excitatory neuron
967,Excitatory neuron
968,Excitatory neuron
969,Excitatory neuron
970,Excitatory neuron
971,Excitatory neuron
972,Excitatory neuron
973,Excitatory neuron
974,Excitatory neuron
975,Excitatory neuron
976,Oligodendrocyte
977,Oligodendrocyte
978,Oligodendrocyte
979,Oligodendrocyte
980,Oligodendrocyte
981,Oligodendrocyte
982,Oligodendrocyte
983,OPC
984,Oligodendrocyte
985,Oligodendrocyte
986,OPC
987,Oligodendrocyte
988,Oligodendrocyte
989,OPC
990,Oligodendrocyte
991,Oligodendrocyte
992,Oligodendrocyte
993,Oligodendrocyte
994,Oligodendrocyte
995,Oligodendrocyte
996,Oligodendrocyte
997,Oligodendrocyte
998,Oligodendrocyte
999,OPC
1000,Oligodendrocyte
1001,Oligodendrocyte
1002,Oligodendrocyte
1003,OPC
1004,Oligodendrocyte
1005,Oligodendrocyte
1006,OPC
1007,Oligodendrocyte
1008,Oligodendrocyte
1009,Oligodendrocyte
1010,Oligodendrocyte
1011,Oligodendrocyte
1012,Oligodendrocyte
1013,Oligodendrocyte
1014,Oligodendrocyte
1015,Oligodendrocyte
1016,Oligodendrocyte
1017,Oligodendrocyte
1018,Oligodendrocyte
1019,Oligodendrocyte
1020,Oligodendrocyte
1021,OPC
1022,Oligodendrocyte
1023,Oligodendrocyte
1024,Oligodendrocyte
1025,OPC
1026,Oligodendrocyte
1027,Oligodendrocyte
1028,Oligodendrocyte
1029,Oligodendrocyte
1030,Oligodendrocyte
1031,Oligodendrocyte
1032,Oligodendrocyte
1033,Oligodendrocyte
1034,Oligodendrocyte
1035,Oligodendrocyte
1036,Oligodendrocyte
1037,Oligodendrocyte
1038,Oligodendrocyte
1039,Oligodendrocyte
1040,Oligodendrocyte
1041,Oligodendrocyte
1042,Oligodendrocyte
1043,Oligodendrocyte
1044,Inhibitory neuron
1045,Inhibitory neuron
1046,Inhibitory neuron
1047,Inhibitory neuron
1048,Inhibitory neuron
1049,Inhibitory neuron
1050,Inhibitory neuron
1051,Inhibitory neuron
1052,Inhibitory neuron
1053,Inhibitory neuron
1054,Inhibitory neuron
1055,Inhibitory neuron
1056,Inhibitory neuron
1057,Inhibitory neuron
1058,Inhibitory neuron
1059,Inhibitory neuron
1060,Inhibitory neuron
1061,Inhibitory neuron
1062,Inhibitory neuron
1063,Inhibitory neuron
1064,Inhibitory neuron
1065,Inhibitory neuron
1066,Inhibitory neuron
1067,Inhibitory neuron
1068,Inhibitory neuron
1069,Inhibitory neuron
1070,Inhibitory neuron
1071,Inhibitory neuron
1072,Endothelial
1073,Endothelial
1074,Endothelial
1075,Endothelial
1076,Endothelial
1077,Endothelial
1078,Endothelial
1079,Endothelial
1080,Endothelial
1081,Endothelial
1082,Endothelial
1083,Endothelial
1084,Endothelial
1085,Endothelial
1086,Endothelial
1087,Endothelial
1088,Endothelial
1089,Endothelial
1090,Endothelial
1091,Endothelial
1092,Endothelial
1093,Endothelial
1094,Endothelial
1095,Endothelial
1096,Endothelial
1097,Endothelial
1098,Endothelial
1099,Endothelial
1100,Endothelial
1101,Endothelial
1102,Endothelial
1103,Endothelial
1104,Oligodendrocyte
1105,Endothelial
1106,Endothelial
1107,Endothelial
1108,Excitatory neuron
1109,Excitatory neuron
1110,Excitatory neuron
1111,Excitatory neuron
1112,Excitatory neuron
1113,Excitatory neuron
1114,Excitatory neuron
1115,Excitatory neuron
1116,Excitatory neuron
1117,Excitatory neuron
1118,Excitatory neuron
1119,Excitatory neuron
1120,Excitatory neuron
1121,Excitatory neuron
1122,Excitatory neuron
1123,Excitatory neuron
1124,Excitatory neuron
1125,Excitatory neuron
1126,Excitatory neuron
1127,Excitatory neuron
1128,Excitatory neuron
1129,Excitatory neuron
1130,Excitatory neuron
1131,Excitatory neuron
1132,Excitatory neuron
1133,Excitatory neuron
1134,Excitatory neuron
1135,Excitatory neuron
1136,Excitatory neuron
1137,Excitatory neuron
1138,Excitatory neuron
1139,Excitatory neuron
1140,Excitatory neuron
1141,Excitatory neuron
1142,Excitatory neuron
1143,Excitatory neuron
1144,Excitatory neuron
1145,Excitatory neuron
1146,Excitatory neuron
1147,Excitatory neuron
1148,Excitatory neuron
1149,Excitatory neuron
1150,Excitatory neuron
1151,Excitatory neuron
1152,Excitatory neuron
1153,Excitatory neuron
1154,Excitatory neuron
1155,Excitatory neuron
1156,Excitatory neuron
1157,Excitatory neuron
1158,Excitatory neuron
1159,Excitatory neuron
1160,Excitatory neuron
1161,Excitatory neuron
1162,Excitatory neuron
1163,Excitatory neuron
1164,Excitatory neuron
1165,Excitatory neuron
1166,Excitatory neuron
1167,Excitatory neuron
1168,Excitatory neuron
1169,Excitatory neuron
1170,Excitatory neuron
1171,Excitatory neuron
1172,Excitatory neuron
1173,Excitatory neuron
1174,Excitatory neuron
1175,Excitatory neuron
1176,Excitatory neuron
1177,Excitatory neuron
1178,Excitatory neuron
1179,Excitatory neuron
1180,Excitatory neuron
1181,Excitatory neuron
1182,Excitatory neuron
1183,Excitatory neuron
1184,Excitatory neuron
1185,Excitatory neuron
1186,Excitatory neuron
1187,Excitatory neuron
1188,Excitatory neuron
1189,Excitatory neuron
1190,Excitatory neuron
1191,Excitatory neuron
1192,Excitatory neuron
1193,Excitatory neuron
1194,Excitatory neuron
1195,Excitatory neuron
1196,Excitatory neuron
1197,Excitatory neuron
1198,Excitatory neuron
1199,Excitatory neuron
1200,Excitatory neuron
1201,Excitatory neuron
1202,Excitatory neuron
1203,Excitatory neuron
1204,Excitatory neuron
1205,Excitatory neuron
1206,Excitatory neuron
1207,Excitatory neuron
1208,Excitatory neuron
1209,Excitatory neuron
1210,Excitatory neuron
1211,Excitatory neuron
1212,Excitatory neuron
1213,Excitatory neuron
1214,Excitatory neuron
1215,Excitatory neuron
1216,Excitatory neuron
1217,Excitatory neuron
1218,Excitatory neuron
1219,Excitatory neuron
1220,Excitatory neuron
1221,Excitatory neuron
1222,Excitatory neuron
1223,Excitatory neuron
1224,Excitatory neuron
1225,Excitatory neuron
1226,Excitatory neuron
1227,Excitatory neuron
1228,Excitatory neuron
1229,Excitatory neuron
1230,Excitatory neuron
1231,Excitatory neuron
1232,Excitatory neuron
1233,Excitatory neuron
1234,Excitatory neuron
1235,Excitatory neuron
1236,Excitatory neuron
1237,Excitatory neuron
1238,Excitatory neuron
1239,Excitatory neuron
1240,Excitatory neuron
1241,Excitatory neuron
1242,Excitatory neuron
1243,Excitatory neuron
1244,Excitatory neuron
1245,Excitatory neuron
1246,Excitatory neuron
1247,Excitatory neuron
1248,Excitatory neuron
1249,Excitatory neuron
1250,Excitatory neuron
1251,Excitatory neuron
1252,Excitatory neuron
1253,Excitatory neuron
1254,Excitatory neuron
1255,Excitatory neuron
1256,Excitatory neuron
1257,Excitatory neuron
1258,Excitatory neuron
1259,Excitatory neuron
1260,Excitatory neuron
1261,Excitatory neuron
1262,Excitatory neuron
1263,Excitatory neuron
1264,Excitatory neuron
1265,Excitatory neuron
1266,Excitatory neuron
1267,Excitatory neuron
1268,Excitatory neuron
