,leiden_labels,desc_labels,ctec_db_labels
D29-8_43,8,7,15
D29-8_48,8,7,15
D30-2_8,8,7,15
D30-3_15,8,7,15
D30-3_21,8,7,15
D30-5_74,8,7,15
D30-6_90,8,7,15
D31-1_65,8,7,15
D31-1_79,8,7,15
D31-1_80,8,7,15
D31-1_81,8,7,15
D31-2_55,8,7,15
D31-2_60,8,7,15
D31-3_30,8,7,15
D31-3_51,8,7,15
D31-3_54,8,7,15
D31-3_56,8,7,15
D31-3_61,8,7,15
D31-3_72,8,7,15
D31-3_77,8,7,15
D31-4_4,8,7,15
D31-4_15,8,7,15
D31-4_37,8,7,15
D31-4_40,8,7,15
D31-6_5,8,7,15
D31-6_32,8,7,15
D31-6_71,8,7,15
D31-7_15,8,7,15
D31-7_79,8,7,15
D31-7_92,8,7,15
D31-8_10,8,7,15
D31-8_15,8,7,15
D31-8_16,8,7,15
D31-8_25,8,7,15
D31-8_26,8,7,15
D31-8_36,8,7,15
D31-8_67,8,7,15
D31-8_70,8,7,15
D31-8_87,8,7,15
10th_C58_S111,8,7,15
10th_C6_S88,8,7,15
10th_C78_S114,8,7,15
10th_C8_S52,8,7,15
11th-C10_S63,8,7,15
11th-C39_S21,8,7,15
3rd-C40_S57,8,7,15
3rd-C44_S32,8,7,15
3rd-C47_S35,8,7,15
3rd-C53_S67,8,7,15
5th-C9_S92,11,7,15
7th-C24_S40,8,7,15
7th-C82_S64,8,7,15
8th-C69_S119,8,7,15
8th-C91_S158,8,7,15
8th-C92_S157,8,7,15
9th-C66_S33,8,7,15
9th-C79_S57,8,7,15
AZ_A2,8,7,15
AZ_H5,8,7,15
AZ_G5,8,7,15
AZ_D8,8,7,15
AZ_D12,8,7,15
HP1502401_H13,8,7,15
HP1502401_L14,8,7,15
HP1502401_K14,8,7,15
HP1502401_F17,8,7,15
HP1502401_E5,8,7,15
HP1502401_E7,8,7,15
HP1502401_B18,8,7,15
HP1502401_K24,8,7,15
HP1502401_K23,8,7,15
HP1502401_F18,8,7,15
HP1502401_G11,8,7,15
HP1502401_G12,8,7,15
HP1502401_N23,8,7,15
HP1502401_B15,8,7,15
HP1502401_N11,8,7,15
HP1502401_N9,8,7,15
HP1502401_F15,8,7,15
HP1502401_B11,8,7,15
HP1502401_I8,8,7,15
HP1504101T2D_B4,8,7,15
HP1504101T2D_B10,8,7,15
HP1504101T2D_G16,8,7,15
HP1504101T2D_A15,8,7,15
HP1504101T2D_K2,8,7,15
HP1504101T2D_B22,8,7,15
HP1504101T2D_G4,8,7,15
HP1504101T2D_L13,8,7,15
HP1504101T2D_B24,8,7,15
HP1504101T2D_H14,8,7,15
HP1504101T2D_A20,8,7,15
HP1504101T2D_I7,8,7,15
HP1504101T2D_E11,8,7,15
HP1504101T2D_E18,8,7,15
HP1504101T2D_L15,8,7,15
HP1504101T2D_D17,8,7,15
HP1504101T2D_A4,8,7,15
HP1504101T2D_P9,8,7,15
HP1504101T2D_F11,8,7,15
HP1504101T2D_O4,8,7,15
HP1504101T2D_E4,8,7,15
HP1504101T2D_I16,8,7,15
HP1504101T2D_D1,3,3,12
HP1504101T2D_D18,8,7,15
HP1504101T2D_F2,8,7,15
HP1504101T2D_I15,8,7,15
HP1504101T2D_I10,8,7,15
HP1504101T2D_E14,8,7,15
HP1504101T2D_P24,8,7,15
HP1504101T2D_E9,8,7,15
HP1504101T2D_B17,8,7,15
HP1504101T2D_N20,8,7,15
HP1504101T2D_C12,8,7,15
HP1504101T2D_I19,8,7,15
HP1504101T2D_M1,8,7,15
HP1504101T2D_A13,8,7,15
HP1504101T2D_D21,8,7,15
HP1504101T2D_B18,8,7,15
HP1504101T2D_A17,8,7,15
HP1504101T2D_E7,8,7,15
HP1504101T2D_G3,8,7,15
HP1504101T2D_C21,8,7,15
HP1504101T2D_K8,8,7,15
HP1504101T2D_D24,8,7,15
HP1504101T2D_F14,8,7,15
HP1504101T2D_B5,8,7,15
HP1504101T2D_L24,8,7,15
HP1504101T2D_B12,8,7,15
HP1504101T2D_E8,8,7,15
HP1504101T2D_L1,8,7,15
HP1504101T2D_J3,8,7,15
HP1504101T2D_G21,8,7,15
HP1504101T2D_D15,8,7,15
HP1504101T2D_D23,8,7,15
HP1504101T2D_H1,8,7,15
HP1504101T2D_D12,8,7,15
HP1504101T2D_F13,8,7,15
HP1504101T2D_J9,8,7,15
HP1504101T2D_H24,8,7,15
HP1504101T2D_E20,8,7,15
HP1504101T2D_P12,8,7,15
HP1504101T2D_J22,8,7,15
HP1504101T2D_O11,8,7,15
HP1504101T2D_J5,8,7,15
HP1504101T2D_G8,8,7,15
HP1504101T2D_D11,8,7,15
HP1504101T2D_O23,8,7,15
HP1504101T2D_F20,8,7,15
HP1504101T2D_M3,8,7,15
HP1504101T2D_N16,8,7,15
HP1504101T2D_A18,8,7,15
HP1504101T2D_F16,8,7,15
HP1504901_L12,8,7,15
HP1504901_N9,8,7,15
HP1504901_F15,8,7,15
HP1504901_G20,8,7,15
HP1504901_H19,8,7,15
HP1504901_B8,8,7,15
HP1504901_O1,8,7,15
HP1504901_F18,8,7,15
HP1504901_H14,8,7,15
HP1504901_F1,8,7,15
HP1504901_B20,8,7,15
HP1504901_O21,8,7,15
HP1504901_A5,8,7,15
HP1504901_L18,8,7,15
HP1504901_D9,8,7,15
HP1504901_K14,8,7,15
HP1504901_N15,8,7,15
HP1504901_B23,8,7,15
HP1504901_O5,19,7,15
HP1504901_J9,8,7,15
HP1504901_M4,8,7,15
HP1504901_B6,8,7,15
HP1504901_E23,8,7,15
HP1504901_O24,8,7,15
HP1504901_L3,8,7,15
HP1504901_I18,8,7,15
HP1504901_D24,8,7,15
HP1504901_I22,8,7,15
HP1504901_C14,8,7,15
HP1504901_C23,8,7,15
HP1504901_L9,8,7,15
HP1504901_N23,8,7,15
HP1506401_I2,8,7,15
HP1506401_I1,8,7,15
HP1506401_E3,8,7,15
HP1506401_B22,8,7,15
HP1506401_N7,8,7,15
HP1506401_I14,8,7,15
HP1506401_G8,8,7,15
HP1506401_H12,8,7,15
HP1506401_E12,8,7,15
HP1506401_B4,8,7,15
HP1506401_K23,8,7,15
HP1506401_I17,8,7,15
HP1506401_H11,8,7,15
HP1506401_F14,8,7,15
HP1506401_K22,8,7,15
HP1506401_O6,8,7,15
HP1506401_D9,8,7,15
HP1506401_L17,8,7,15
HP1506401_M6,8,7,15
HP1506401_B3,8,7,15
HP1506401_M24,8,7,15
HP1506401_H19,8,7,15
HP1507101_J9,8,7,15
HP1507101_D19,8,7,15
HP1507101_M22,8,7,15
HP1507101_B20,8,7,15
HP1507101_F9,8,7,15
HP1508501T2D_A19,8,7,15
HP1508501T2D_K16,8,7,15
HP1508501T2D_H18,8,7,15
HP1508501T2D_J17,9,7,15
HP1508501T2D_B10,8,7,15
HP1508501T2D_N18,8,7,15
HP1508501T2D_F11,8,7,15
HP1508501T2D_G22,8,7,15
HP1508501T2D_P4,8,7,15
HP1509101_F21,8,7,15
HP1509101_O8,8,7,15
HP1509101_G8,8,7,15
HP1509101_K8,8,7,15
HP1525301T2D_E19,8,7,15
HP1525301T2D_B5,8,7,15
HP1525301T2D_E3,8,7,15
HP1525301T2D_G23,8,7,15
HP1525301T2D_J18,8,7,15
HP1525301T2D_B8,8,7,15
HP1525301T2D_A16,8,7,15
HP1525301T2D_D12,8,7,15
HP1525301T2D_N21,8,7,15
HP1525301T2D_O11,8,7,15
HP1526901T2D_K12,8,7,15
HP1526901T2D_A20,8,7,15
HP1526901T2D_C13,8,7,15
HP1526901T2D_C19,8,7,15
HP1526901T2D_H23,8,7,15
HP1526901T2D_K11,8,7,15
HP1526901T2D_L14,8,7,15
HP1526901T2D_L7,8,7,15
HP1526901T2D_G1,8,7,15
HP1526901T2D_N18,8,7,15
HP1526901T2D_H16,8,7,15
HP1526901T2D_K21,8,7,15
HP1526901T2D_P23,8,7,15
HP1526901T2D_N20,8,7,15
HP1526901T2D_I24,8,7,15
HP1526901T2D_A15,8,7,15
HP1526901T2D_D10,8,7,15
HP1526901T2D_O3,8,7,15
HP1526901T2D_E4,8,7,15
HP1526901T2D_F12,8,7,15
HP1526901T2D_O10,8,7,15
HP1526901T2D_E10,8,7,15
HP1526901T2D_L12,8,7,15
HP1526901T2D_M22,8,7,15
HP1526901T2D_F20,8,7,15
HP1526901T2D_G19,8,7,15
HP1526901T2D_D14,8,7,15
HP1526901T2D_E5,8,7,15
HP1526901T2D_G9,8,7,15
HP1526901T2D_B13,8,7,15
HP1526901T2D_H3,8,7,15
HP1526901T2D_J17,8,7,15
HP1526901T2D_N19,8,7,15
HP1526901T2D_M3,8,7,15
HP1526901T2D_F7,8,7,15
D101_7,12,10,13
D101_50,12,10,13
D101_51,4,10,13
D101_52,4,5,13
D101_74,12,5,13
D101_82,12,5,13
D102_26,12,5,13
D102_51,12,10,13
D102_54,12,5,13
D102_69,12,5,13
D102_71,12,5,13
D102_76,12,5,13
D102_91,12,10,13
D10631_15,12,5,13
D10631_17,12,10,13
D10631_38,12,5,13
D10631_48,12,5,13
D10631_50,12,5,13
D10631_53,12,10,13
D10631_54,12,5,13
D10631_57,12,5,13
D10631_66,12,5,13
D10631_67,12,5,13
D10631_69,12,10,13
D10631_91,12,5,13
D10631_95,12,5,13
D10631_96,12,10,13
D1713_8,12,5,13
D1713_15,12,5,13
D1713_16,12,5,13
D1713_27,12,5,13
D1713_29,12,5,13
D1713_33,12,5,13
D1713_42,12,5,13
D1713_50,12,5,13
D1713_58,12,5,13
D1713_61,12,10,13
D1713_63,12,5,13
D1713_67,12,5,13
D1713_68,12,5,13
D1713_69,12,5,13
D1713_70,12,10,13
D1713_71,12,5,13
D1713_72,12,5,13
D1713_80,12,10,13
D1713_89,12,10,13
D1713_91,12,5,13
D172444_19,12,5,13
D17All1_36,12,5,13
D17All1_50,12,5,13
D17All1_52,12,5,13
D17All1_69,12,10,13
D17All1_92,12,10,13
D17All2_3,12,5,13
D17All2_79,12,5,13
D17TGFB_4,12,10,13
D17TGFB_6,12,10,13
D17TGFB_8,12,10,13
D17TGFB_9,12,10,13
D17TGFB_10,12,5,13
D17TGFB_12,12,5,13
D17TGFB_14,12,10,13
D17TGFB_17,12,5,13
D17TGFB_21,12,10,13
D17TGFB_22,12,5,13
D17TGFB_23,12,10,13
D17TGFB_26,12,5,13
D17TGFB_31,12,5,13
D17TGFB_32,12,5,13
D17TGFB_33,12,10,13
D17TGFB_36,12,10,13
D17TGFB_38,12,5,13
D17TGFB_39,12,5,13
D17TGFB_41,12,10,13
D17TGFB_43,12,10,13
D17TGFB_44,12,10,13
D17TGFB_45,12,10,13
D17TGFB_47,12,10,13
D17TGFB_49,12,5,13
D17TGFB_51,12,10,13
D17TGFB_54,12,5,13
D17TGFB_56,12,10,13
D17TGFB_57,12,5,13
D17TGFB_58,12,5,13
D17TGFB_59,12,5,13
D17TGFB_61,12,5,13
D17TGFB_66,12,5,13
D17TGFB_67,12,5,13
D17TGFB_71,12,10,13
D17TGFB_74,12,10,13
D17TGFB_76,12,10,13
D17TGFB_80,12,5,13
D17TGFB_85,12,5,13
D17TGFB_89,12,10,13
D17TGFB_92,12,10,13
D17TGFB_93,12,10,13
D2ex_1,12,5,13
D2ex_2,12,5,13
D2ex_3,12,5,13
D2ex_10,12,5,13
D2ex_13,11,5,13
D2ex_15,12,10,13
D2ex_16,12,5,13
D2ex_18,12,5,13
D2ex_21,12,5,13
D2ex_24,12,10,13
D2ex_26,12,10,13
D2ex_28,12,5,13
D2ex_34,12,5,13
D2ex_37,12,10,13
D2ex_40,12,10,13
D2ex_41,12,10,13
D2ex_42,12,5,13
D2ex_44,12,5,13
D2ex_46,12,5,13
D2ex_51,12,10,13
D2ex_59,12,10,13
D2ex_61,12,10,13
D2ex_66,12,5,13
D2ex_69,12,5,13
D2ex_70,12,10,13
D2ex_76,12,5,13
D2ex_79,12,10,13
D2ex_86,12,10,13
D2ex_92,12,5,13
D3en1_1,12,10,13
D3en1_5,12,5,13
D3en1_10,12,5,13
D3en1_11,12,5,13
D3en1_13,12,5,13
D3en1_26,12,5,13
D3en1_37,12,5,13
D3en1_41,12,10,13
D3en1_45,12,5,13
D3en1_48,12,5,13
D3en1_49,12,5,13
D3en1_56,12,5,13
D3en1_68,12,5,13
D3en1_73,12,5,13
D3en1_84,12,5,13
D3en2_5,12,10,13
D3en2_6,12,5,13
D3en2_16,12,5,13
D3en2_21,12,5,13
D3en2_23,12,5,13
D3en2_25,12,5,13
D3en2_26,12,5,13
D3en2_27,12,5,13
D3en2_31,12,10,13
D3en2_32,12,5,13
D3en2_33,12,5,13
D3en2_37,12,5,13
D3en2_39,12,5,13
D3en2_42,12,5,13
D3en2_45,12,5,13
D3en2_48,12,5,13
D3en2_57,12,5,13
D3en2_66,12,5,13
D3en2_72,12,5,13
D3en2_74,12,5,13
D3en2_90,12,5,13
D3en3_2,12,5,13
D3en3_9,12,5,13
D3en3_39,12,10,13
D3en3_46,12,5,13
D3en3_50,12,5,13
D3en3_64,12,5,13
D3en3_68,12,5,13
D3en3_72,12,5,13
D3en3_89,12,5,13
D3en4_7,12,5,13
D3en4_8,12,5,13
D3en4_9,12,5,13
D3en4_12,12,5,13
D3en4_14,12,5,13
D3en4_20,12,5,13
D3en4_25,12,5,13
D3en4_26,12,5,13
D3en4_30,12,5,13
D3en4_31,12,5,13
D3en4_32,12,10,13
D3en4_35,12,5,13
D3en4_39,12,5,13
D3en4_42,12,5,13
D3en4_46,12,5,13
D3en4_48,12,5,13
D3en4_54,12,5,13
D3en4_60,12,10,13
D3en4_68,12,5,13
D3en4_69,12,5,13
D3en4_72,12,5,13
D3en4_83,12,5,13
D3en4_87,12,5,13
D3en4_92,12,5,13
D3ex_5,12,5,13
D3ex_6,12,5,13
D3ex_36,12,5,13
D3ex_68,10,8,2
D3ex_71,12,5,13
D3ex_74,12,5,13
D3ex_76,12,5,13
D3ex_83,12,5,13
D71_2,12,5,13
D71_5,12,5,13
D71_10,12,5,13
D71_16,12,5,13
D71_34,12,5,13
D71_39,12,5,13
D71_78,12,5,13
D71_92,12,10,13
D72_1,12,5,13
D72_18,12,5,13
D72_22,12,5,13
D72_33,12,5,13
D72_40,11,5,13
D72_95,12,5,13
D73_35,11,10,13
D73_37,12,5,13
D73_43,12,5,13
D73_48,4,5,13
D73_52,12,5,13
D73_68,12,5,13
D73_83,12,5,13
D74_14,12,10,13
D74_62,12,5,13
D74_76,12,5,13
D74_81,12,5,13
D74_90,12,5,13
D28-1_37,4,5,13
D28-1_38,4,10,13
D28-1_50,4,5,13
D28-1_55,4,5,13
D28-1_62,4,5,13
D28-1_67,4,5,13
D28-1_68,4,5,13
D28-1_86,4,5,13
D28-1_87,4,10,13
D28-2_1,4,10,13
D28-2_4,4,10,13
D28-2_15,4,10,13
D28-2_18,4,10,13
D28-2_39,4,10,13
D28-2_42,4,10,13
D28-2_49,4,5,13
D28-2_53,4,5,13
D28-2_61,4,5,13
D28-2_74,4,5,13
D28-2_75,4,5,13
D28-2_78,4,5,13
D28-2_86,4,10,13
D28-2_87,4,5,13
D28-2_89,4,10,13
D28-3_4,4,5,13
D28-3_25,4,5,13
D28-3_26,4,5,13
D28-3_28,4,5,13
D28-3_31,17,10,13
D28-3_44,4,10,13
D28-3_51,4,5,13
D28-3_52,4,5,13
D28-3_62,4,5,13
D28-3_65,4,5,13
D28-3_75,4,5,13
D28-3_77,4,10,13
D28-3_85,4,5,13
D28-3_90,4,10,13
D28-3_91,4,10,13
D28-4_4,4,5,13
D28-4_17,4,5,13
D28-4_28,4,5,13
D28-4_40,4,5,13
D28-4_49,4,5,13
D28-4_51,4,5,13
D28-4_53,4,5,13
D28-4_54,4,5,13
D28-4_61,4,5,13
D28-4_63,4,10,13
D28-4_67,4,5,13
D28-4_75,4,5,13
D28-4_85,4,10,13
D28-4_86,4,10,13
D28-4_89,4,5,13
D28-5_3,4,5,13
D28-5_17,4,5,13
D28-5_27,4,10,13
D28-5_29,12,10,13
D28-5_31,12,10,13
D28-5_37,4,10,13
D28-5_38,4,5,13
D28-5_42,4,5,13
D28-5_54,4,5,13
D28-5_62,4,5,13
D28-5_63,4,5,13
D28-5_77,4,10,13
D28-5_78,4,5,13
D28-6_2,4,5,13
D28-6_4,4,5,13
D28-6_14,4,5,13
D28-6_19,4,5,13
D28-6_38,4,5,13
D28-6_41,4,5,13
D28-6_42,4,10,13
D28-6_50,4,5,13
D28-6_51,4,5,13
D28-6_61,17,10,13
D28-6_62,4,5,13
D28-6_63,4,5,13
D28-6_66,4,5,13
D28-6_73,4,5,13
D28-6_74,4,10,13
D28-6_76,4,10,13
D28-6_89,4,5,13
D28-7_1,4,5,13
D28-7_37,4,5,13
D28-7_39,4,10,13
D28-7_41,4,10,13
D28-7_51,4,5,13
D28-7_52,4,5,13
D28-7_62,4,5,13
D28-7_64,4,5,13
D28-7_75,4,5,13
D28-7_78,4,10,13
D28-8_6,4,10,13
D28-8_39,4,5,13
D28-8_49,4,10,13
D28-8_53,4,5,13
D28-8_63,4,10,13
D28-8_75,4,5,13
D28-8_77,4,5,13
D29-1_68,4,10,13
D29-5_73,4,10,13
D29-5_78,17,10,13
D29-7_5,4,10,13
D29-7_49,4,10,13
D30-1_1,4,5,13
D30-1_19,4,5,13
D30-1_29,4,5,13
D30-1_30,4,5,13
D30-1_36,4,5,13
D30-1_55,4,5,13
D30-1_61,4,5,13
D30-1_63,4,5,13
D30-1_72,4,10,13
D30-1_91,4,5,13
D30-2_1,4,10,13
D30-2_11,4,5,13
D30-2_17,4,5,13
D30-2_27,4,10,13
D30-2_41,4,10,13
D30-2_42,4,5,13
D30-2_43,4,5,13
D30-2_45,4,5,13
D30-2_51,4,10,13
D30-2_53,4,5,13
D30-2_56,4,5,13
D30-2_76,4,10,13
D30-3_2,4,5,13
D30-3_45,4,5,13
D30-3_63,4,10,13
D30-3_91,4,5,13
D30-4_18,4,5,13
D30-4_23,4,5,13
D30-4_62,4,5,13
D30-4_81,17,10,13
D30-4_82,4,10,13
D30-5_36,4,5,13
D30-5_45,4,5,13
D30-5_79,4,5,13
D30-5_89,4,10,13
D30-6_5,4,5,13
D30-6_37,4,5,13
D30-6_40,4,5,13
D30-6_44,12,10,13
D30-6_80,4,5,13
D30-7_1,4,10,13
D30-7_11,4,5,13
D30-7_20,4,10,13
D30-7_24,4,5,13
D30-7_28,4,5,13
D30-7_39,4,5,13
D30-7_91,4,5,13
D30-8_24,4,5,13
D30-8_33,4,5,13
D30-8_36,4,10,13
D30-8_37,4,5,13
D30-8_63,4,5,13
D30-8_65,4,5,13
D30-8_69,4,5,13
D30-8_81,4,5,13
D30-8_84,4,5,13
D31-1_5,4,5,13
D31-1_7,4,5,13
D31-1_9,4,5,13
D31-1_11,4,5,13
D31-1_19,4,10,13
D31-1_21,4,5,13
D31-1_22,4,10,13
D31-1_25,4,5,13
D31-1_27,12,5,13
D31-1_44,4,5,13
D31-1_45,4,10,13
D31-1_48,4,5,13
D31-1_51,4,5,13
D31-1_58,4,10,13
D31-1_70,17,10,13
D31-1_88,4,10,13
D31-2_6,4,10,13
D31-2_15,17,10,13
D31-2_18,17,10,13
D31-2_26,17,10,13
D31-2_30,4,10,13
D31-2_38,4,5,13
D31-2_53,4,5,13
D31-2_61,4,10,13
D31-2_69,4,10,13
D31-2_75,4,10,13
D31-2_83,17,10,13
D31-2_86,17,10,13
D31-2_87,4,5,13
D31-3_1,4,5,13
D31-3_14,4,5,13
D31-3_23,4,5,13
D31-3_25,4,5,13
D31-3_26,4,5,13
D31-3_36,4,10,13
D31-3_40,4,5,13
D31-3_47,4,5,13
D31-3_48,4,5,13
D31-3_53,4,5,13
D31-3_60,4,10,13
D31-3_63,4,5,13
D31-3_64,4,10,13
D31-3_69,4,10,13
D31-3_73,4,10,13
D31-3_78,4,5,13
D31-3_86,4,10,13
D31-3_89,4,5,13
D31-4_9,4,10,13
D31-4_13,4,10,13
D31-4_14,4,5,13
D31-4_36,4,5,13
D31-4_41,4,10,13
D31-4_43,17,10,13
D31-4_48,4,10,13
D31-4_55,4,5,13
D31-4_70,4,5,13
D31-4_72,4,10,13
D31-4_79,17,10,13
D31-4_90,4,5,13
D31-4_91,4,10,13
D31-4_93,4,10,13
D31-5_1,4,5,13
D31-5_4,4,5,13
D31-5_16,4,10,13
D31-5_34,17,10,13
D31-5_39,4,5,13
D31-5_45,4,5,13
D31-5_48,4,10,13
D31-5_57,17,10,13
D31-5_60,12,10,13
D31-5_69,4,5,13
D31-5_70,4,10,13
D31-5_75,4,5,13
D31-5_89,4,5,13
D31-5_92,4,5,13
D31-6_9,4,5,13
D31-6_11,4,5,13
D31-6_13,4,5,13
D31-6_21,4,10,13
D31-6_24,4,5,13
D31-6_29,4,5,13
D31-6_33,12,5,13
D31-6_39,4,10,13
D31-6_40,4,5,13
D31-6_43,4,5,13
D31-6_52,17,10,13
D31-6_53,4,5,13
D31-6_61,4,5,13
D31-6_62,4,5,13
D31-6_66,4,10,13
D31-6_69,4,5,13
D31-6_75,4,5,13
D31-6_81,4,5,13
D31-6_86,4,5,13
D31-7_9,4,5,13
D31-7_11,4,5,13
D31-7_21,17,10,13
D31-7_38,4,5,13
D31-7_58,4,5,13
D31-7_63,4,5,13
D31-7_70,4,5,13
D31-7_77,4,10,13
D31-8_4,4,5,13
D31-8_7,4,5,13
D31-8_11,4,5,13
D31-8_27,4,5,13
D31-8_40,4,5,13
D31-8_53,4,5,13
D31-8_63,4,5,13
D31-8_81,4,5,13
D31-8_89,4,5,13
D31-8_91,4,5,13
10th_C42_S109,4,10,13
10th_C63_S82,4,5,13
10th_C86_S78,4,10,13
10th_C87_S71,4,10,13
11th-C64_S72,4,10,13
12th-C53_S168,4,10,13
13th_C27_S151,4,10,13
4th-C27_S51,4,10,13
4th-C95_S95,4,5,13
5th-C10_S92,17,10,13
5th-C19_S104,17,5,13
5th-C40_S112,17,10,13
5th-C42_S114,17,10,13
5th-C45_S123,17,10,13
5th-C50_S90,17,10,13
5th-C54_S89,17,5,13
5th-C56_S95,17,10,13
5th-C58_S93,17,10,13
5th-C73_S111,17,5,13
5th-C81_S115,17,10,13
5th-C88_S117,17,10,13
AZ_B8,4,5,13
AZ_A7,4,10,13
AZ_H10,4,10,13
AZ_F6,4,10,13
HP1502401_A14,4,5,13
HP1502401_I14,4,5,13
HP1502401_F13,4,5,13
HP1502401_G18,4,5,13
HP1502401_N2,4,10,13
HP1502401_O14,4,5,13
HP1502401_B17,4,5,13
HP1502401_M8,4,5,13
HP1502401_K10,4,5,13
HP1502401_D10,4,5,13
HP1502401_D11,4,5,13
HP1502401_A22,4,5,13
HP1502401_K12,4,5,13
HP1502401_D2,4,10,13
HP1502401_E23,4,10,13
HP1502401_E24,4,5,13
HP1502401_E2,4,10,13
HP1502401_C1,4,5,13
HP1502401_J2,4,5,13
HP1502401_M22,4,5,13
HP1502401_E20,4,5,13
HP1504101T2D_L14,4,10,13
HP1504101T2D_K19,4,5,13
HP1504101T2D_I6,4,10,13
HP1504101T2D_A10,4,5,13
HP1504101T2D_C11,4,10,13
HP1504101T2D_K10,4,5,13
HP1504101T2D_J16,4,5,13
HP1504101T2D_F1,4,5,13
HP1504901_F23,17,10,13
HP1504901_D13,4,5,13
HP1504901_O4,4,5,13
HP1504901_H16,4,5,13
HP1506401_K2,4,10,13
HP1506401_M1,4,10,13
HP1506401_D14,4,10,13
HP1506401_A9,4,10,13
HP1506401_J9,4,10,13
HP1506401_N1,4,10,13
HP1506401_G14,17,10,13
HP1506401_O16,17,10,13
HP1506401_D3,17,10,13
HP1506401_E23,17,10,13
HP1506401_N9,17,10,13
HP1506401_L19,17,10,13
HP1506401_H15,4,10,13
HP1506401_H16,4,10,13
HP1506401_C24,4,10,13
HP1506401_N21,4,10,13
HP1506401_J2,4,10,13
HP1506401_B1,4,10,13
HP1506401_I15,4,10,13
HP1506401_M3,4,10,13
HP1506401_D24,4,10,13
HP1506401_J24,4,10,13
HP1506401_J6,17,10,13
HP1506401_N5,17,10,13
HP1506401_E20,4,10,13
HP1506401_F16,4,10,13
HP1506401_M18,17,10,13
HP1506401_I13,4,10,13
HP1506401_L18,4,10,13
HP1506401_H18,4,10,13
HP1506401_F2,4,10,13
HP1506401_M4,4,10,13
HP1506401_J3,17,10,13
HP1506401_L22,17,10,13
HP1506401_N24,4,10,13
HP1506401_M19,17,10,13
HP1506401_J23,4,10,13
HP1506401_D23,4,10,13
HP1506401_B5,4,10,13
HP1506401_K6,4,10,13
HP1506401_O21,17,10,13
HP1506401_L9,4,10,13
HP1506401_E18,4,10,13
HP1506401_G4,4,10,13
HP1506401_D12,4,10,13
HP1506401_B14,17,10,13
HP1506401_P17,17,10,13
HP1506401_B16,17,10,13
HP1506401_I6,17,10,13
HP1506401_K15,17,10,13
HP1506401_C13,17,10,13
HP1506401_O7,4,5,13
HP1506401_K14,17,10,13
HP1506401_M17,4,10,13
HP1506401_J14,4,5,13
HP1506401_N15,4,10,13
HP1506401_O18,17,10,13
HP1506401_G15,4,10,13
HP1506401_F5,4,10,13
HP1506401_L3,4,10,13
HP1506401_A7,17,10,13
HP1506401_M8,4,10,13
HP1506401_A6,17,10,13
HP1506401_F3,12,10,13
HP1506401_E24,17,10,13
HP1506401_J15,4,10,13
HP1506401_I10,17,10,13
HP1506401_G16,4,10,13
HP1506401_P23,17,10,13
HP1506401_B6,4,10,13
HP1506401_N22,17,10,13
HP1506401_C7,4,10,13
