,paul15_clusters,paul15_label,celltype,sc3s_labels
229,19Lymph,Lymph,Lymph,1
230,4Ery,Ery,Ery,0
231,3Ery,Ery,Ery,9
232,14Mo,Mo,Mo,2
233,4Ery,Ery,Ery,9
234,6Ery,Ery,Ery,7
235,16Neu,Neu,Neu,3
236,14Mo,Mo,Mo,2
237,3Ery,Ery,Ery,5
238,17Neu,Neu,Neu,1
239,15Mo,Mo,Mo,3
240,4Ery,Ery,Ery,0
241,3Ery,Ery,Ery,8
242,6Ery,Ery,Ery,7
243,14Mo,Mo,Mo,2
244,3Ery,Ery,Ery,8
245,16Neu,Neu,Neu,3
246,14Mo,Mo,Mo,2
247,15Mo,Mo,Mo,3
248,7MEP,MEP,MEP,4
249,13Baso,Baso,Baso,2
250,15Mo,Mo,Mo,3
251,14Mo,Mo,Mo,2
252,3Ery,Ery,Ery,8
253,2Ery,Ery,Ery,5
254,2Ery,Ery,Ery,6
255,14Mo,Mo,Mo,3
256,2Ery,Ery,Ery,5
257,13Baso,Baso,Baso,1
258,2Ery,Ery,Ery,5
259,3Ery,Ery,Ery,9
260,13Baso,Baso,Baso,1
261,12Baso,Baso,Baso,4
262,2Ery,Ery,Ery,5
263,10GMP,GMP,GMP,1
264,5Ery,Ery,Ery,0
265,13Baso,Baso,Baso,2
266,3Ery,Ery,Ery,8
267,9GMP,GMP,GMP,1
268,15Mo,Mo,Mo,3
269,2Ery,Ery,Ery,5
270,10GMP,GMP,GMP,1
271,5Ery,Ery,Ery,9
272,5Ery,Ery,Ery,9
273,2Ery,Ery,Ery,5
274,14Mo,Mo,Mo,2
275,13Baso,Baso,Baso,2
276,2Ery,Ery,Ery,5
277,14Mo,Mo,Mo,2
278,16Neu,Neu,Neu,3
279,12Baso,Baso,Baso,4
280,14Mo,Mo,Mo,2
281,14Mo,Mo,Mo,2
282,3Ery,Ery,Ery,5
283,14Mo,Mo,Mo,2
284,13Baso,Baso,Baso,2
285,12Baso,Baso,Baso,1
286,5Ery,Ery,Ery,0
287,10GMP,GMP,GMP,1
288,14Mo,Mo,Mo,2
289,4Ery,Ery,Ery,9
290,15Mo,Mo,Mo,2
291,11DC,DC,DC,2
292,3Ery,Ery,Ery,8
293,4Ery,Ery,Ery,0
294,4Ery,Ery,Ery,0
295,4Ery,Ery,Ery,9
296,4Ery,Ery,Ery,5
297,5Ery,Ery,Ery,0
298,1Ery,Ery,Ery,5
299,16Neu,Neu,Neu,3
300,14Mo,Mo,Mo,2
301,2Ery,Ery,Ery,5
302,5Ery,Ery,Ery,9
303,15Mo,Mo,Mo,3
304,5Ery,Ery,Ery,7
305,2Ery,Ery,Ery,9
306,5Ery,Ery,Ery,0
307,1Ery,Ery,Ery,5
308,7MEP,MEP,MEP,4
309,2Ery,Ery,Ery,5
310,14Mo,Mo,Mo,3
311,10GMP,GMP,GMP,1
312,2Ery,Ery,Ery,0
313,14Mo,Mo,Mo,2
314,6Ery,Ery,Ery,4
315,9GMP,GMP,GMP,1
316,3Ery,Ery,Ery,8
317,2Ery,Ery,Ery,5
318,3Ery,Ery,Ery,9
319,12Baso,Baso,Baso,4
320,2Ery,Ery,Ery,0
321,18Eos,Eos,Eos,1
322,5Ery,Ery,Ery,9
323,3Ery,Ery,Ery,0
324,15Mo,Mo,Mo,2
325,14Mo,Mo,Mo,2
326,2Ery,Ery,Ery,5
327,6Ery,Ery,Ery,4
328,14Mo,Mo,Mo,2
329,2Ery,Ery,Ery,5
330,5Ery,Ery,Ery,0
331,12Baso,Baso,Baso,1
332,7MEP,MEP,MEP,4
333,17Neu,Neu,Neu,1
334,14Mo,Mo,Mo,2
335,2Ery,Ery,Ery,0
336,5Ery,Ery,Ery,0
337,2Ery,Ery,Ery,5
338,14Mo,Mo,Mo,2
339,13Baso,Baso,Baso,2
340,15Mo,Mo,Mo,2
341,2Ery,Ery,Ery,5
342,13Baso,Baso,Baso,2
343,16Neu,Neu,Neu,3
344,5Ery,Ery,Ery,0
345,14Mo,Mo,Mo,2
346,16Neu,Neu,Neu,3
347,14Mo,Mo,Mo,2
348,16Neu,Neu,Neu,3
349,14Mo,Mo,Mo,2
350,8Mk,Mk,Mk,1
351,10GMP,GMP,GMP,1
352,14Mo,Mo,Mo,2
353,5Ery,Ery,Ery,0
354,7MEP,MEP,MEP,4
355,2Ery,Ery,Ery,5
356,14Mo,Mo,Mo,1
357,13Baso,Baso,Baso,2
358,2Ery,Ery,Ery,9
359,5Ery,Ery,Ery,0
360,14Mo,Mo,Mo,2
361,14Mo,Mo,Mo,2
362,9GMP,GMP,GMP,1
363,4Ery,Ery,Ery,9
364,10GMP,GMP,GMP,1
365,13Baso,Baso,Baso,3
366,10GMP,GMP,GMP,1
367,7MEP,MEP,MEP,4
368,10GMP,GMP,GMP,1
369,3Ery,Ery,Ery,7
370,2Ery,Ery,Ery,5
371,14Mo,Mo,Mo,2
372,10GMP,GMP,GMP,1
373,15Mo,Mo,Mo,3
374,13Baso,Baso,Baso,3
375,7MEP,MEP,MEP,4
376,6Ery,Ery,Ery,4
377,7MEP,MEP,MEP,4
378,5Ery,Ery,Ery,9
379,14Mo,Mo,Mo,2
380,13Baso,Baso,Baso,2
381,10GMP,GMP,GMP,1
382,7MEP,MEP,MEP,4
383,3Ery,Ery,Ery,8
384,7MEP,MEP,MEP,4
385,13Baso,Baso,Baso,2
386,1Ery,Ery,Ery,5
387,14Mo,Mo,Mo,2
388,13Baso,Baso,Baso,2
389,10GMP,GMP,GMP,1
390,9GMP,GMP,GMP,1
391,3Ery,Ery,Ery,8
392,13Baso,Baso,Baso,2
393,2Ery,Ery,Ery,5
394,13Baso,Baso,Baso,2
395,2Ery,Ery,Ery,5
396,6Ery,Ery,Ery,4
397,6Ery,Ery,Ery,4
398,13Baso,Baso,Baso,2
399,3Ery,Ery,Ery,7
400,13Baso,Baso,Baso,2
401,11DC,DC,DC,2
402,14Mo,Mo,Mo,3
403,10GMP,GMP,GMP,1
404,8Mk,Mk,Mk,1
405,9GMP,GMP,GMP,1
406,2Ery,Ery,Ery,9
407,13Baso,Baso,Baso,2
408,14Mo,Mo,Mo,2
409,13Baso,Baso,Baso,1
410,14Mo,Mo,Mo,2
411,5Ery,Ery,Ery,0
412,14Mo,Mo,Mo,2
413,5Ery,Ery,Ery,0
414,13Baso,Baso,Baso,2
415,12Baso,Baso,Baso,1
416,16Neu,Neu,Neu,3
417,11DC,DC,DC,2
418,13Baso,Baso,Baso,1
419,13Baso,Baso,Baso,2
420,2Ery,Ery,Ery,5
421,2Ery,Ery,Ery,0
422,14Mo,Mo,Mo,2
423,7MEP,MEP,MEP,4
424,4Ery,Ery,Ery,0
425,6Ery,Ery,Ery,4
426,13Baso,Baso,Baso,2
427,14Mo,Mo,Mo,2
428,14Mo,Mo,Mo,2
429,6Ery,Ery,Ery,4
430,12Baso,Baso,Baso,1
431,6Ery,Ery,Ery,7
432,14Mo,Mo,Mo,2
433,2Ery,Ery,Ery,9
434,13Baso,Baso,Baso,2
435,13Baso,Baso,Baso,2
436,14Mo,Mo,Mo,2
437,7MEP,MEP,MEP,4
438,7MEP,MEP,MEP,4
439,15Mo,Mo,Mo,3
440,5Ery,Ery,Ery,0
441,5Ery,Ery,Ery,0
442,5Ery,Ery,Ery,4
443,5Ery,Ery,Ery,0
444,15Mo,Mo,Mo,3
445,1Ery,Ery,Ery,5
446,13Baso,Baso,Baso,1
447,10GMP,GMP,GMP,1
448,12Baso,Baso,Baso,1
449,4Ery,Ery,Ery,6
450,7MEP,MEP,MEP,1
451,15Mo,Mo,Mo,3
452,19Lymph,Lymph,Lymph,1
453,13Baso,Baso,Baso,2
454,13Baso,Baso,Baso,2
455,3Ery,Ery,Ery,8
456,3Ery,Ery,Ery,0
457,15Mo,Mo,Mo,3
458,16Neu,Neu,Neu,3
459,13Baso,Baso,Baso,2
460,2Ery,Ery,Ery,5
461,15Mo,Mo,Mo,3
462,17Neu,Neu,Neu,1
463,15Mo,Mo,Mo,3
464,13Baso,Baso,Baso,1
465,16Neu,Neu,Neu,3
466,6Ery,Ery,Ery,4
467,5Ery,Ery,Ery,7
468,15Mo,Mo,Mo,2
469,9GMP,GMP,GMP,1
470,13Baso,Baso,Baso,2
471,15Mo,Mo,Mo,3
472,13Baso,Baso,Baso,2
473,6Ery,Ery,Ery,4
474,7MEP,MEP,MEP,4
475,12Baso,Baso,Baso,1
476,15Mo,Mo,Mo,3
477,2Ery,Ery,Ery,5
478,13Baso,Baso,Baso,2
479,10GMP,GMP,GMP,4
480,14Mo,Mo,Mo,3
481,14Mo,Mo,Mo,2
482,14Mo,Mo,Mo,3
483,15Mo,Mo,Mo,3
484,5Ery,Ery,Ery,0
485,16Neu,Neu,Neu,3
486,5Ery,Ery,Ery,0
487,14Mo,Mo,Mo,2
488,13Baso,Baso,Baso,2
489,15Mo,Mo,Mo,3
490,2Ery,Ery,Ery,5
491,2Ery,Ery,Ery,5
492,2Ery,Ery,Ery,5
493,13Baso,Baso,Baso,2
494,13Baso,Baso,Baso,2
495,5Ery,Ery,Ery,7
496,5Ery,Ery,Ery,0
497,9GMP,GMP,GMP,1
498,14Mo,Mo,Mo,2
499,7MEP,MEP,MEP,4
500,14Mo,Mo,Mo,2
501,11DC,DC,DC,2
502,16Neu,Neu,Neu,3
503,2Ery,Ery,Ery,5
504,2Ery,Ery,Ery,0
505,10GMP,GMP,GMP,4
506,8Mk,Mk,Mk,1
507,2Ery,Ery,Ery,5
508,5Ery,Ery,Ery,9
509,13Baso,Baso,Baso,2
510,13Baso,Baso,Baso,2
511,12Baso,Baso,Baso,1
512,7MEP,MEP,MEP,4
513,7MEP,MEP,MEP,4
514,13Baso,Baso,Baso,2
515,6Ery,Ery,Ery,4
516,5Ery,Ery,Ery,9
517,16Neu,Neu,Neu,3
518,14Mo,Mo,Mo,2
519,13Baso,Baso,Baso,2
520,2Ery,Ery,Ery,9
521,14Mo,Mo,Mo,2
522,5Ery,Ery,Ery,0
523,7MEP,MEP,MEP,4
524,10GMP,GMP,GMP,2
525,19Lymph,Lymph,Lymph,1
526,14Mo,Mo,Mo,1
527,4Ery,Ery,Ery,8
528,14Mo,Mo,Mo,3
529,12Baso,Baso,Baso,1
530,9GMP,GMP,GMP,1
531,15Mo,Mo,Mo,3
532,17Neu,Neu,Neu,1
533,7MEP,MEP,MEP,4
534,16Neu,Neu,Neu,3
535,13Baso,Baso,Baso,2
536,3Ery,Ery,Ery,8
537,15Mo,Mo,Mo,3
538,3Ery,Ery,Ery,9
539,7MEP,MEP,MEP,4
540,8Mk,Mk,Mk,1
541,19Lymph,Lymph,Lymph,1
542,3Ery,Ery,Ery,0
543,13Baso,Baso,Baso,2
544,9GMP,GMP,GMP,1
545,3Ery,Ery,Ery,7
546,3Ery,Ery,Ery,9
547,2Ery,Ery,Ery,5
548,16Neu,Neu,Neu,3
549,14Mo,Mo,Mo,2
550,16Neu,Neu,Neu,3
551,6Ery,Ery,Ery,4
552,14Mo,Mo,Mo,2
553,5Ery,Ery,Ery,0
554,14Mo,Mo,Mo,2
555,14Mo,Mo,Mo,3
556,19Lymph,Lymph,Lymph,1
557,15Mo,Mo,Mo,3
558,13Baso,Baso,Baso,1
559,14Mo,Mo,Mo,3
560,13Baso,Baso,Baso,2
561,17Neu,Neu,Neu,1
562,14Mo,Mo,Mo,2
563,1Ery,Ery,Ery,5
564,2Ery,Ery,Ery,9
565,5Ery,Ery,Ery,0
566,6Ery,Ery,Ery,4
567,15Mo,Mo,Mo,3
568,10GMP,GMP,GMP,1
569,6Ery,Ery,Ery,4
570,10GMP,GMP,GMP,1
571,7MEP,MEP,MEP,4
572,14Mo,Mo,Mo,2
573,13Baso,Baso,Baso,2
574,2Ery,Ery,Ery,9
575,14Mo,Mo,Mo,3
576,14Mo,Mo,Mo,2
577,6Ery,Ery,Ery,4
578,13Baso,Baso,Baso,1
579,14Mo,Mo,Mo,2
580,14Mo,Mo,Mo,2
581,2Ery,Ery,Ery,9
582,6Ery,Ery,Ery,7
583,13Baso,Baso,Baso,2
584,10GMP,GMP,GMP,1
585,15Mo,Mo,Mo,3
586,16Neu,Neu,Neu,3
587,10GMP,GMP,GMP,1
588,1Ery,Ery,Ery,5
589,14Mo,Mo,Mo,2
590,12Baso,Baso,Baso,1
591,10GMP,GMP,GMP,1
592,12Baso,Baso,Baso,4
593,16Neu,Neu,Neu,3
594,10GMP,GMP,GMP,1
595,13Baso,Baso,Baso,2
596,16Neu,Neu,Neu,3
597,6Ery,Ery,Ery,4
598,5Ery,Ery,Ery,4
599,10GMP,GMP,GMP,1
600,13Baso,Baso,Baso,2
601,19Lymph,Lymph,Lymph,1
602,14Mo,Mo,Mo,3
603,5Ery,Ery,Ery,0
604,13Baso,Baso,Baso,2
605,13Baso,Baso,Baso,2
606,13Baso,Baso,Baso,2
607,19Lymph,Lymph,Lymph,1
608,13Baso,Baso,Baso,3
609,4Ery,Ery,Ery,8
610,12Baso,Baso,Baso,1
611,10GMP,GMP,GMP,1
612,11DC,DC,DC,2
613,1Ery,Ery,Ery,5
614,19Lymph,Lymph,Lymph,1
615,3Ery,Ery,Ery,5
616,6Ery,Ery,Ery,4
617,6Ery,Ery,Ery,4
618,2Ery,Ery,Ery,5
619,2Ery,Ery,Ery,5
620,13Baso,Baso,Baso,2
621,3Ery,Ery,Ery,7
622,15Mo,Mo,Mo,3
623,2Ery,Ery,Ery,9
624,10GMP,GMP,GMP,1
625,5Ery,Ery,Ery,0
626,13Baso,Baso,Baso,2
627,9GMP,GMP,GMP,1
628,9GMP,GMP,GMP,1
629,12Baso,Baso,Baso,1
630,17Neu,Neu,Neu,1
631,6Ery,Ery,Ery,4
632,7MEP,MEP,MEP,4
633,6Ery,Ery,Ery,7
634,14Mo,Mo,Mo,2
635,14Mo,Mo,Mo,2
636,19Lymph,Lymph,Lymph,1
637,13Baso,Baso,Baso,2
638,13Baso,Baso,Baso,2
639,2Ery,Ery,Ery,0
640,13Baso,Baso,Baso,2
641,7MEP,MEP,MEP,4
642,3Ery,Ery,Ery,0
643,13Baso,Baso,Baso,2
644,15Mo,Mo,Mo,3
645,13Baso,Baso,Baso,2
646,11DC,DC,DC,2
647,17Neu,Neu,Neu,1
648,13Baso,Baso,Baso,1
649,14Mo,Mo,Mo,2
650,2Ery,Ery,Ery,0
651,11DC,DC,DC,2
652,13Baso,Baso,Baso,1
653,13Baso,Baso,Baso,2
654,2Ery,Ery,Ery,5
655,2Ery,Ery,Ery,5
656,16Neu,Neu,Neu,3
657,14Mo,Mo,Mo,2
658,10GMP,GMP,GMP,1
659,16Neu,Neu,Neu,3
660,13Baso,Baso,Baso,2
661,10GMP,GMP,GMP,2
662,16Neu,Neu,Neu,3
663,2Ery,Ery,Ery,0
664,14Mo,Mo,Mo,2
665,12Baso,Baso,Baso,1
666,9GMP,GMP,GMP,1
667,2Ery,Ery,Ery,5
668,2Ery,Ery,Ery,5
669,2Ery,Ery,Ery,5
670,6Ery,Ery,Ery,0
671,13Baso,Baso,Baso,2
672,14Mo,Mo,Mo,2
673,2Ery,Ery,Ery,9
674,5Ery,Ery,Ery,9
675,16Neu,Neu,Neu,3
676,6Ery,Ery,Ery,4
677,13Baso,Baso,Baso,1
678,14Mo,Mo,Mo,2
679,5Ery,Ery,Ery,0
680,5Ery,Ery,Ery,0
681,2Ery,Ery,Ery,5
682,4Ery,Ery,Ery,9
683,2Ery,Ery,Ery,9
684,10GMP,GMP,GMP,1
685,5Ery,Ery,Ery,0
686,13Baso,Baso,Baso,2
687,13Baso,Baso,Baso,2
688,2Ery,Ery,Ery,9
689,12Baso,Baso,Baso,1
690,12Baso,Baso,Baso,1
691,15Mo,Mo,Mo,2
692,13Baso,Baso,Baso,2
693,13Baso,Baso,Baso,2
694,13Baso,Baso,Baso,2
695,13Baso,Baso,Baso,2
696,10GMP,GMP,GMP,1
697,14Mo,Mo,Mo,3
698,13Baso,Baso,Baso,2
699,7MEP,MEP,MEP,4
700,13Baso,Baso,Baso,2
701,9GMP,GMP,GMP,4
702,14Mo,Mo,Mo,2
703,1Ery,Ery,Ery,5
704,3Ery,Ery,Ery,8
705,13Baso,Baso,Baso,2
706,13Baso,Baso,Baso,2
707,15Mo,Mo,Mo,3
708,2Ery,Ery,Ery,0
709,13Baso,Baso,Baso,1
710,5Ery,Ery,Ery,6
711,14Mo,Mo,Mo,2
712,3Ery,Ery,Ery,6
713,6Ery,Ery,Ery,4
714,2Ery,Ery,Ery,6
715,19Lymph,Lymph,Lymph,1
716,15Mo,Mo,Mo,3
717,12Baso,Baso,Baso,1
718,7MEP,MEP,MEP,4
719,2Ery,Ery,Ery,5
720,8Mk,Mk,Mk,1
721,14Mo,Mo,Mo,2
722,14Mo,Mo,Mo,2
723,8Mk,Mk,Mk,1
724,5Ery,Ery,Ery,7
725,14Mo,Mo,Mo,3
726,2Ery,Ery,Ery,5
727,3Ery,Ery,Ery,8
728,9GMP,GMP,GMP,1
729,5Ery,Ery,Ery,0
730,3Ery,Ery,Ery,9
731,5Ery,Ery,Ery,9
732,14Mo,Mo,Mo,2
733,2Ery,Ery,Ery,6
734,2Ery,Ery,Ery,6
735,14Mo,Mo,Mo,3
736,16Neu,Neu,Neu,3
737,9GMP,GMP,GMP,4
738,16Neu,Neu,Neu,3
739,15Mo,Mo,Mo,3
740,10GMP,GMP,GMP,1
741,3Ery,Ery,Ery,6
742,14Mo,Mo,Mo,2
743,8Mk,Mk,Mk,1
744,14Mo,Mo,Mo,3
745,15Mo,Mo,Mo,2
746,16Neu,Neu,Neu,3
747,5Ery,Ery,Ery,0
748,14Mo,Mo,Mo,2
749,16Neu,Neu,Neu,3
750,4Ery,Ery,Ery,0
751,2Ery,Ery,Ery,5
752,13Baso,Baso,Baso,2
753,14Mo,Mo,Mo,2
754,13Baso,Baso,Baso,1
755,5Ery,Ery,Ery,7
756,13Baso,Baso,Baso,1
757,7MEP,MEP,MEP,4
758,15Mo,Mo,Mo,3
759,6Ery,Ery,Ery,4
760,16Neu,Neu,Neu,3
761,15Mo,Mo,Mo,3
762,12Baso,Baso,Baso,1
763,6Ery,Ery,Ery,4
764,13Baso,Baso,Baso,2
765,14Mo,Mo,Mo,3
766,16Neu,Neu,Neu,3
767,14Mo,Mo,Mo,2
768,14Mo,Mo,Mo,2
769,2Ery,Ery,Ery,5
770,6Ery,Ery,Ery,4
771,6Ery,Ery,Ery,4
772,13Baso,Baso,Baso,1
773,14Mo,Mo,Mo,2
774,16Neu,Neu,Neu,3
775,2Ery,Ery,Ery,6
776,2Ery,Ery,Ery,5
777,5Ery,Ery,Ery,9
778,2Ery,Ery,Ery,9
779,5Ery,Ery,Ery,7
780,1Ery,Ery,Ery,5
781,13Baso,Baso,Baso,2
782,14Mo,Mo,Mo,2
783,14Mo,Mo,Mo,2
784,16Neu,Neu,Neu,3
785,1Ery,Ery,Ery,5
786,6Ery,Ery,Ery,7
787,14Mo,Mo,Mo,3
788,14Mo,Mo,Mo,2
789,15Mo,Mo,Mo,3
790,13Baso,Baso,Baso,2
791,15Mo,Mo,Mo,3
792,1Ery,Ery,Ery,5
793,8Mk,Mk,Mk,1
794,15Mo,Mo,Mo,3
795,14Mo,Mo,Mo,2
796,10GMP,GMP,GMP,1
797,9GMP,GMP,GMP,1
798,4Ery,Ery,Ery,7
799,15Mo,Mo,Mo,3
800,4Ery,Ery,Ery,4
801,11DC,DC,DC,2
802,2Ery,Ery,Ery,5
803,14Mo,Mo,Mo,2
804,14Mo,Mo,Mo,2
805,8Mk,Mk,Mk,1
806,13Baso,Baso,Baso,1
807,6Ery,Ery,Ery,7
808,13Baso,Baso,Baso,2
809,4Ery,Ery,Ery,0
810,13Baso,Baso,Baso,1
811,15Mo,Mo,Mo,2
812,13Baso,Baso,Baso,2
813,4Ery,Ery,Ery,8
814,2Ery,Ery,Ery,5
815,16Neu,Neu,Neu,3
816,2Ery,Ery,Ery,5
817,5Ery,Ery,Ery,0
818,2Ery,Ery,Ery,5
819,5Ery,Ery,Ery,0
