,paul15_clusters,paul15_label,celltype,SC3,CIDR,Seurat,tsne,SIMLR,SAFE,SAME,ctec_db_labels,ctec_ob_labels
46,6Ery,Ery,Ery,2,5,5,1,1,1,6,0,0
47,4Ery,Ery,Ery,1,3,5,1,7,1,6,0,0
48,7MEP,MEP,MEP,8,6,7,3,8,3,2,2,1
49,2Ery,Ery,Ery,1,5,3,1,1,1,5,0,0
50,13Baso,Baso,Baso,8,11,6,3,2,3,4,2,1
51,14Mo,Mo,Mo,4,3,4,2,5,2,1,1,5
52,6Ery,Ery,Ery,2,1,2,1,1,1,5,0,1
53,18Eos,Eos,Eos,5,7,6,3,2,3,4,2,1
54,4Ery,Ery,Ery,1,10,3,1,1,1,5,0,0
55,3Ery,Ery,Ery,2,3,3,1,1,1,5,0,0
56,3Ery,Ery,Ery,2,1,5,1,1,1,6,0,0
57,14Mo,Mo,Mo,3,9,1,2,6,2,7,1,5
58,2Ery,Ery,Ery,1,1,3,1,1,1,5,0,0
59,13Baso,Baso,Baso,3,4,1,2,6,2,7,1,5
60,2Ery,Ery,Ery,1,3,3,1,1,1,5,0,0
61,13Baso,Baso,Baso,3,3,1,2,6,2,7,1,5
62,13Baso,Baso,Baso,3,4,1,2,6,2,7,1,5
63,14Mo,Mo,Mo,3,9,1,2,6,2,7,1,5
64,7MEP,MEP,MEP,6,6,2,3,2,3,3,2,1
65,7MEP,MEP,MEP,2,3,5,1,7,1,6,0,0
66,7MEP,MEP,MEP,6,6,2,3,2,3,3,2,1
67,10GMP,GMP,GMP,8,6,6,3,2,3,4,2,1
68,12Baso,Baso,Baso,6,7,6,3,2,3,4,2,1
69,6Ery,Ery,Ery,2,1,2,1,1,1,5,0,1
70,5Ery,Ery,Ery,2,1,2,1,1,1,5,0,1
71,5Ery,Ery,Ery,2,5,3,1,1,1,5,0,0
72,14Mo,Mo,Mo,4,3,4,2,5,2,1,1,5
73,4Ery,Ery,Ery,1,5,3,1,1,1,5,0,0
74,16Neu,Neu,Neu,4,2,4,2,5,2,1,1,5
75,16Neu,Neu,Neu,4,9,4,2,5,2,1,1,5
76,3Ery,Ery,Ery,1,3,5,1,7,1,6,0,0
77,2Ery,Ery,Ery,2,10,3,1,1,1,5,0,0
78,6Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
79,13Baso,Baso,Baso,7,6,1,2,6,2,7,1,5
80,13Baso,Baso,Baso,8,11,6,3,6,3,4,1,1
81,10GMP,GMP,GMP,8,1,6,3,2,3,4,2,1
82,14Mo,Mo,Mo,4,11,4,2,5,2,1,1,5
83,5Ery,Ery,Ery,2,5,3,1,1,1,5,0,0
84,7MEP,MEP,MEP,6,1,2,3,2,3,3,2,1
85,7MEP,MEP,MEP,6,4,2,3,2,3,3,2,1
86,5Ery,Ery,Ery,2,5,3,1,1,1,5,0,0
87,6Ery,Ery,Ery,2,3,2,1,1,1,5,0,1
88,2Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
89,10GMP,GMP,GMP,6,1,2,3,2,3,3,2,1
90,10GMP,GMP,GMP,8,4,6,3,6,3,4,1,1
91,2Ery,Ery,Ery,1,1,3,1,1,1,5,0,0
92,7MEP,MEP,MEP,6,6,2,3,2,3,3,2,1
93,6Ery,Ery,Ery,6,1,2,1,1,1,5,0,1
94,7MEP,MEP,MEP,2,7,2,3,2,3,3,2,1
95,14Mo,Mo,Mo,3,9,1,2,6,2,7,1,5
96,16Neu,Neu,Neu,3,9,1,2,5,2,1,1,5
97,10GMP,GMP,GMP,8,4,6,3,6,3,4,1,1
98,3Ery,Ery,Ery,2,8,3,1,1,1,5,0,0
99,3Ery,Ery,Ery,1,8,5,1,7,1,6,0,0
100,13Baso,Baso,Baso,3,4,1,2,6,2,7,1,5
101,1Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
102,14Mo,Mo,Mo,3,2,1,2,6,2,7,1,5
103,15Mo,Mo,Mo,3,2,1,2,5,2,1,1,5
104,2Ery,Ery,Ery,1,1,3,1,1,1,5,0,0
105,5Ery,Ery,Ery,2,5,2,3,2,1,3,2,1
106,2Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
107,5Ery,Ery,Ery,2,5,2,1,1,1,5,0,1
108,3Ery,Ery,Ery,1,1,5,1,7,1,6,0,0
109,14Mo,Mo,Mo,3,9,1,2,6,2,7,1,5
110,10GMP,GMP,GMP,8,6,6,3,6,3,4,1,1
111,2Ery,Ery,Ery,1,1,3,1,1,1,5,0,0
112,7MEP,MEP,MEP,6,1,2,3,2,3,3,2,1
113,4Ery,Ery,Ery,1,1,3,1,1,1,5,0,0
114,9GMP,GMP,GMP,8,1,7,3,2,3,4,2,1
115,7MEP,MEP,MEP,6,7,2,3,2,3,3,2,1
116,3Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
117,16Neu,Neu,Neu,4,2,4,2,5,2,1,1,5
118,11DC,DC,DC,6,6,9,3,3,3,2,2,1
119,10GMP,GMP,GMP,8,7,6,3,2,3,4,2,1
120,6Ery,Ery,Ery,2,1,5,1,7,1,6,0,0
121,3Ery,Ery,Ery,2,6,2,1,2,1,3,2,1
122,2Ery,Ery,Ery,1,5,3,1,1,1,5,0,0
123,5Ery,Ery,Ery,1,5,3,1,1,1,5,0,0
124,2Ery,Ery,Ery,1,10,3,1,1,1,5,0,0
125,2Ery,Ery,Ery,1,1,3,1,1,1,5,0,0
126,5Ery,Ery,Ery,2,5,3,1,1,1,5,0,0
127,14Mo,Mo,Mo,3,3,1,2,6,2,7,1,5
128,5Ery,Ery,Ery,2,1,5,1,1,1,6,0,0
129,14Mo,Mo,Mo,3,3,1,2,6,2,7,1,5
130,3Ery,Ery,Ery,2,1,5,1,7,1,6,0,0
131,2Ery,Ery,Ery,1,5,3,1,1,1,5,0,0
132,16Neu,Neu,Neu,4,2,4,2,5,2,1,1,5
133,2Ery,Ery,Ery,1,1,3,1,1,1,5,0,0
134,13Baso,Baso,Baso,8,6,6,3,2,3,4,2,1
135,16Neu,Neu,Neu,4,2,4,2,5,2,1,1,5
136,2Ery,Ery,Ery,1,3,3,1,1,1,5,0,0
137,3Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
138,3Ery,Ery,Ery,1,1,5,1,7,1,6,0,0
139,14Mo,Mo,Mo,3,9,1,2,6,2,7,1,5
140,5Ery,Ery,Ery,2,10,3,1,1,1,5,0,0
141,16Neu,Neu,Neu,4,2,4,2,5,2,1,1,5
142,14Mo,Mo,Mo,3,11,1,2,6,2,7,1,5
143,14Mo,Mo,Mo,5,11,6,3,5,2,4,1,1
144,13Baso,Baso,Baso,3,4,1,2,6,2,7,1,5
145,3Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
146,14Mo,Mo,Mo,3,2,1,2,5,2,1,1,5
147,7MEP,MEP,MEP,6,1,2,3,2,3,3,2,1
148,14Mo,Mo,Mo,8,4,4,2,6,2,7,1,1
149,10GMP,GMP,GMP,8,11,6,3,2,3,4,2,1
150,2Ery,Ery,Ery,2,5,2,3,2,1,3,2,1
151,14Mo,Mo,Mo,8,3,6,3,5,3,4,1,1
152,15Mo,Mo,Mo,4,2,6,2,5,2,1,1,5
153,14Mo,Mo,Mo,3,2,1,2,6,2,7,1,5
154,16Neu,Neu,Neu,4,9,4,2,5,2,1,1,5
155,10GMP,GMP,GMP,8,11,6,3,2,3,4,2,1
156,7MEP,MEP,MEP,6,6,2,3,2,3,3,2,1
157,5Ery,Ery,Ery,2,5,2,3,1,1,3,0,1
158,16Neu,Neu,Neu,4,2,4,2,5,2,1,1,5
159,2Ery,Ery,Ery,2,1,3,1,1,1,5,0,0
160,16Neu,Neu,Neu,4,9,4,2,5,2,1,1,5
161,14Mo,Mo,Mo,5,2,4,2,6,2,7,1,5
162,10GMP,GMP,GMP,8,6,6,3,6,3,4,1,1
163,16Neu,Neu,Neu,4,9,4,2,5,2,1,1,5
164,8Mk,Mk,Mk,6,1,7,3,2,3,4,2,1
165,7MEP,MEP,MEP,6,6,2,3,2,3,3,2,1
166,14Mo,Mo,Mo,3,11,1,2,6,2,7,1,5
167,7MEP,MEP,MEP,6,1,2,3,2,3,3,2,1
168,2Ery,Ery,Ery,1,10,3,1,1,1,5,0,0
169,14Mo,Mo,Mo,3,11,1,2,6,2,7,1,5
170,14Mo,Mo,Mo,3,11,6,3,2,3,4,2,1
171,4Ery,Ery,Ery,1,10,3,1,1,1,5,0,0
172,5Ery,Ery,Ery,2,3,3,1,1,1,5,0,0
173,14Mo,Mo,Mo,4,11,6,2,6,2,7,1,5
174,14Mo,Mo,Mo,3,11,6,2,6,2,7,1,1
175,10GMP,GMP,GMP,6,7,7,3,2,3,4,2,1
176,6Ery,Ery,Ery,6,6,2,3,2,3,3,2,1
177,5Ery,Ery,Ery,2,10,3,1,1,1,5,0,0
178,14Mo,Mo,Mo,3,11,1,2,6,2,7,1,5
179,3Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
180,5Ery,Ery,Ery,2,5,3,1,1,1,5,0,0
181,15Mo,Mo,Mo,4,2,4,2,5,2,1,1,5
182,5Ery,Ery,Ery,2,5,3,1,1,1,5,0,0
183,14Mo,Mo,Mo,3,4,1,2,5,2,1,1,5
184,16Neu,Neu,Neu,3,2,1,2,5,2,1,1,5
185,8Mk,Mk,Mk,6,6,2,3,2,3,3,2,1
186,3Ery,Ery,Ery,1,8,5,1,7,1,6,0,0
187,14Mo,Mo,Mo,5,3,4,2,6,2,7,1,5
188,12Baso,Baso,Baso,6,6,6,3,2,3,4,2,1
189,14Mo,Mo,Mo,8,3,6,2,5,3,1,1,5
190,3Ery,Ery,Ery,1,3,5,1,7,1,6,0,0
191,5Ery,Ery,Ery,2,1,2,3,1,1,3,0,1
192,16Neu,Neu,Neu,5,2,6,3,6,2,4,1,1
193,15Mo,Mo,Mo,4,3,4,2,5,2,1,1,4
194,13Baso,Baso,Baso,3,4,1,2,6,2,7,1,5
195,5Ery,Ery,Ery,2,5,5,1,1,1,6,0,0
196,3Ery,Ery,Ery,1,1,5,1,7,1,6,0,0
197,13Baso,Baso,Baso,7,4,1,2,6,2,7,1,5
198,12Baso,Baso,Baso,6,7,6,3,2,3,4,2,1
199,8Mk,Mk,Mk,6,6,2,3,2,3,3,2,1
200,7MEP,MEP,MEP,6,1,7,3,2,3,4,2,1
201,6Ery,Ery,Ery,2,1,2,1,1,1,5,0,1
202,2Ery,Ery,Ery,1,1,3,1,1,1,5,0,0
203,3Ery,Ery,Ery,1,3,5,1,1,1,6,0,0
204,3Ery,Ery,Ery,1,8,5,1,7,1,6,0,0
205,15Mo,Mo,Mo,3,3,1,2,6,2,7,1,5
206,3Ery,Ery,Ery,2,1,2,3,1,1,3,0,1
207,3Ery,Ery,Ery,1,1,5,1,1,1,6,0,0
208,3Ery,Ery,Ery,2,1,5,1,7,1,6,0,0
209,8Mk,Mk,Mk,6,6,2,3,2,3,3,2,1
210,2Ery,Ery,Ery,1,3,3,1,1,1,5,0,0
211,2Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
212,14Mo,Mo,Mo,5,3,4,2,5,2,1,1,5
213,3Ery,Ery,Ery,2,1,5,1,7,1,6,0,0
214,15Mo,Mo,Mo,3,9,4,2,6,2,7,1,5
215,14Mo,Mo,Mo,3,3,1,2,6,2,7,1,5
216,7MEP,MEP,MEP,6,1,2,3,2,3,3,2,1
217,15Mo,Mo,Mo,4,9,4,2,5,2,1,1,5
218,3Ery,Ery,Ery,1,1,3,1,1,1,5,0,0
219,3Ery,Ery,Ery,1,3,3,1,1,1,5,0,0
220,13Baso,Baso,Baso,5,6,6,3,2,3,4,2,1
221,15Mo,Mo,Mo,3,4,4,2,5,2,1,1,5
222,3Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
223,15Mo,Mo,Mo,4,9,4,2,6,2,7,1,5
224,13Baso,Baso,Baso,3,3,1,2,6,2,7,1,5
225,3Ery,Ery,Ery,2,1,2,1,1,1,5,0,1
226,15Mo,Mo,Mo,4,4,4,2,5,2,1,1,4
227,15Mo,Mo,Mo,4,9,4,2,5,2,1,1,5
228,13Baso,Baso,Baso,3,3,1,2,6,2,7,1,5
229,19Lymph,Lymph,Lymph,6,3,8,3,8,3,2,2,7
230,4Ery,Ery,Ery,2,8,5,1,1,1,6,0,0
231,3Ery,Ery,Ery,2,1,3,1,7,1,5,0,0
232,14Mo,Mo,Mo,3,3,1,2,6,2,7,1,5
233,4Ery,Ery,Ery,1,5,3,1,1,1,5,0,0
234,6Ery,Ery,Ery,6,1,2,3,1,3,3,0,1
235,16Neu,Neu,Neu,4,9,4,2,5,2,1,1,5
236,14Mo,Mo,Mo,3,4,1,2,6,2,7,1,5
237,3Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
238,17Neu,Neu,Neu,6,7,6,3,2,3,4,2,1
239,15Mo,Mo,Mo,4,9,4,2,6,2,7,1,5
240,4Ery,Ery,Ery,2,10,3,1,1,1,5,0,0
241,3Ery,Ery,Ery,1,5,5,1,7,1,6,0,0
242,6Ery,Ery,Ery,2,1,2,3,1,1,3,0,1
243,14Mo,Mo,Mo,3,9,1,2,6,2,7,1,5
244,3Ery,Ery,Ery,2,3,5,1,7,1,6,0,6
245,16Neu,Neu,Neu,4,2,4,2,5,2,1,1,5
246,14Mo,Mo,Mo,3,11,1,2,6,2,7,1,5
247,15Mo,Mo,Mo,4,2,4,2,5,2,1,1,5
248,7MEP,MEP,MEP,6,1,2,3,2,3,3,2,1
249,13Baso,Baso,Baso,8,7,1,2,6,2,7,1,5
250,15Mo,Mo,Mo,4,11,4,2,5,2,1,1,4
251,14Mo,Mo,Mo,3,4,1,2,6,2,7,1,5
252,3Ery,Ery,Ery,1,3,5,1,7,1,6,0,0
253,2Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
254,2Ery,Ery,Ery,1,8,3,1,7,1,5,0,0
255,14Mo,Mo,Mo,5,4,4,2,6,2,7,1,5
256,2Ery,Ery,Ery,1,8,5,1,7,1,6,0,0
257,13Baso,Baso,Baso,8,11,6,2,2,3,4,2,1
258,2Ery,Ery,Ery,1,8,3,1,7,1,5,0,0
259,3Ery,Ery,Ery,2,3,5,1,7,1,6,0,0
260,13Baso,Baso,Baso,8,3,6,3,6,3,4,1,1
261,12Baso,Baso,Baso,8,7,2,3,2,3,3,2,1
262,2Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
263,10GMP,GMP,GMP,8,1,6,3,2,3,4,2,1
264,5Ery,Ery,Ery,2,5,3,1,1,1,5,0,0
265,13Baso,Baso,Baso,3,4,1,2,6,2,7,1,5
266,3Ery,Ery,Ery,2,3,5,1,7,1,6,0,0
267,9GMP,GMP,GMP,8,6,6,3,6,3,4,1,1
268,15Mo,Mo,Mo,4,2,4,2,5,2,1,1,5
269,2Ery,Ery,Ery,1,10,3,1,1,1,5,0,0
270,10GMP,GMP,GMP,8,11,6,3,2,3,4,2,1
271,5Ery,Ery,Ery,2,5,3,1,1,1,5,0,0
272,5Ery,Ery,Ery,2,3,3,1,1,1,5,0,0
273,2Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
274,14Mo,Mo,Mo,8,3,1,3,6,3,7,1,1
275,13Baso,Baso,Baso,7,7,1,2,6,2,7,1,5
276,2Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
277,14Mo,Mo,Mo,3,2,1,2,6,2,7,1,5
278,16Neu,Neu,Neu,4,9,4,2,5,2,1,1,5
279,12Baso,Baso,Baso,6,6,2,3,2,3,3,2,1
280,14Mo,Mo,Mo,3,3,1,2,6,2,7,1,5
281,14Mo,Mo,Mo,3,4,1,2,6,2,7,1,5
282,3Ery,Ery,Ery,1,1,3,1,1,1,5,0,0
283,14Mo,Mo,Mo,3,4,1,2,6,2,7,1,5
284,13Baso,Baso,Baso,8,4,1,2,6,2,7,1,1
285,12Baso,Baso,Baso,8,7,6,3,2,3,4,2,1
286,5Ery,Ery,Ery,2,5,3,1,1,1,5,0,0
287,10GMP,GMP,GMP,6,6,7,3,2,3,4,2,1
288,14Mo,Mo,Mo,3,11,1,2,6,2,7,1,5
289,4Ery,Ery,Ery,2,10,3,1,1,1,5,0,0
290,15Mo,Mo,Mo,3,9,1,2,6,2,7,1,5
291,11DC,DC,DC,6,7,9,3,3,3,2,2,2
292,3Ery,Ery,Ery,2,1,5,1,7,1,6,0,0
293,4Ery,Ery,Ery,1,5,3,1,1,1,5,0,0
294,4Ery,Ery,Ery,2,3,2,1,1,1,5,0,0
295,4Ery,Ery,Ery,2,10,3,1,1,1,5,0,0
296,4Ery,Ery,Ery,1,3,3,1,1,1,5,0,0
297,5Ery,Ery,Ery,2,5,2,3,1,1,3,0,1
298,1Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
299,16Neu,Neu,Neu,4,2,4,2,5,2,1,1,5
300,14Mo,Mo,Mo,3,3,1,2,6,2,7,1,5
301,2Ery,Ery,Ery,1,1,3,1,1,1,5,0,0
302,5Ery,Ery,Ery,2,1,3,1,1,1,5,0,0
303,15Mo,Mo,Mo,4,2,4,2,5,2,1,1,5
304,5Ery,Ery,Ery,2,5,5,1,7,1,6,0,0
305,2Ery,Ery,Ery,2,5,3,1,1,1,5,0,0
306,5Ery,Ery,Ery,2,5,3,1,1,1,5,0,0
307,1Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
308,7MEP,MEP,MEP,6,7,2,3,2,3,3,2,1
309,2Ery,Ery,Ery,1,1,3,1,1,1,5,0,0
310,14Mo,Mo,Mo,4,2,4,2,6,2,7,1,5
311,10GMP,GMP,GMP,6,1,7,3,2,3,4,2,1
312,2Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
313,14Mo,Mo,Mo,3,11,1,2,6,2,7,1,5
314,6Ery,Ery,Ery,6,1,2,3,2,3,3,2,1
315,9GMP,GMP,GMP,6,7,7,3,2,3,4,2,1
316,3Ery,Ery,Ery,1,3,5,1,7,1,6,0,0
317,2Ery,Ery,Ery,1,10,3,1,1,1,5,0,0
318,3Ery,Ery,Ery,1,1,3,1,1,1,5,0,0
319,12Baso,Baso,Baso,6,6,2,3,2,3,3,2,1
320,2Ery,Ery,Ery,2,10,3,1,1,1,5,0,0
321,18Eos,Eos,Eos,5,11,6,3,2,3,4,2,1
322,5Ery,Ery,Ery,2,5,3,1,1,1,5,0,0
323,3Ery,Ery,Ery,2,3,3,1,1,1,5,0,0
324,15Mo,Mo,Mo,3,2,1,2,5,2,1,1,5
325,14Mo,Mo,Mo,8,11,6,2,2,3,4,2,1
326,2Ery,Ery,Ery,1,1,3,1,1,1,5,0,0
327,6Ery,Ery,Ery,6,3,2,3,2,3,3,2,1
328,14Mo,Mo,Mo,8,11,6,2,6,2,7,1,1
329,2Ery,Ery,Ery,1,5,3,1,1,1,5,0,0
330,5Ery,Ery,Ery,2,10,3,1,1,1,5,0,0
331,12Baso,Baso,Baso,6,6,6,3,2,3,4,2,1
332,7MEP,MEP,MEP,6,7,2,3,2,3,3,2,1
333,17Neu,Neu,Neu,6,6,6,3,2,3,4,2,1
334,14Mo,Mo,Mo,3,11,1,2,6,2,7,1,5
335,2Ery,Ery,Ery,2,8,3,1,1,1,5,0,0
336,5Ery,Ery,Ery,2,5,2,3,1,1,3,0,1
337,2Ery,Ery,Ery,1,1,3,1,1,1,5,0,0
338,14Mo,Mo,Mo,3,2,1,2,6,2,7,1,5
339,13Baso,Baso,Baso,3,11,1,2,5,2,1,1,4
340,15Mo,Mo,Mo,3,9,1,2,6,2,7,1,5
341,2Ery,Ery,Ery,1,10,3,1,1,1,5,0,0
342,13Baso,Baso,Baso,8,6,1,2,6,2,7,1,5
343,16Neu,Neu,Neu,4,9,4,2,5,2,1,1,5
344,5Ery,Ery,Ery,1,10,3,1,1,1,5,0,0
345,14Mo,Mo,Mo,3,3,1,2,6,2,7,1,5
346,16Neu,Neu,Neu,4,2,4,2,5,2,1,1,5
347,14Mo,Mo,Mo,5,11,1,2,5,2,1,1,5
348,16Neu,Neu,Neu,4,2,4,2,5,2,1,1,5
349,14Mo,Mo,Mo,3,9,1,2,6,2,7,1,5
350,8Mk,Mk,Mk,6,1,7,3,2,3,4,2,1
351,10GMP,GMP,GMP,8,1,6,3,2,3,4,2,1
352,14Mo,Mo,Mo,3,9,1,2,5,2,1,1,5
353,5Ery,Ery,Ery,2,1,3,1,1,1,5,0,0
354,7MEP,MEP,MEP,6,1,2,3,2,3,3,2,1
355,2Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
356,14Mo,Mo,Mo,4,11,6,3,5,2,4,1,1
357,13Baso,Baso,Baso,3,3,1,2,6,2,7,1,5
358,2Ery,Ery,Ery,2,8,3,1,1,1,5,0,0
359,5Ery,Ery,Ery,2,5,3,1,1,1,5,0,0
360,14Mo,Mo,Mo,3,11,1,2,6,2,7,1,5
361,14Mo,Mo,Mo,3,11,1,2,6,2,7,1,5
362,9GMP,GMP,GMP,8,4,6,3,6,3,4,1,1
363,4Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
364,10GMP,GMP,GMP,8,6,6,3,2,3,4,2,1
365,13Baso,Baso,Baso,4,11,4,2,5,2,1,1,5
366,10GMP,GMP,GMP,8,3,6,3,2,3,4,2,1
367,7MEP,MEP,MEP,6,6,2,3,2,3,3,2,1
368,10GMP,GMP,GMP,8,6,6,3,6,3,4,1,1
369,3Ery,Ery,Ery,2,1,5,1,7,1,6,0,0
370,2Ery,Ery,Ery,1,10,3,1,1,1,5,0,0
371,14Mo,Mo,Mo,3,3,1,2,6,2,7,1,5
372,10GMP,GMP,GMP,8,7,6,3,2,3,4,2,1
373,15Mo,Mo,Mo,4,11,4,2,5,2,1,1,5
374,13Baso,Baso,Baso,4,3,4,2,6,2,7,1,5
375,7MEP,MEP,MEP,6,7,2,3,2,3,3,2,1
376,6Ery,Ery,Ery,6,1,2,3,2,3,3,2,1
377,7MEP,MEP,MEP,6,3,2,3,1,3,3,0,1
378,5Ery,Ery,Ery,2,3,3,1,1,1,5,0,0
379,14Mo,Mo,Mo,3,11,1,2,6,2,7,1,5
380,13Baso,Baso,Baso,3,11,1,2,6,2,7,1,5
381,10GMP,GMP,GMP,8,1,6,3,6,3,4,1,1
382,7MEP,MEP,MEP,6,6,2,3,2,3,3,2,1
383,3Ery,Ery,Ery,1,5,5,1,7,1,6,0,0
384,7MEP,MEP,MEP,6,1,2,3,2,3,3,2,1
385,13Baso,Baso,Baso,8,6,1,2,6,2,7,1,1
386,1Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
387,14Mo,Mo,Mo,3,4,1,2,6,2,7,1,5
388,13Baso,Baso,Baso,3,11,1,2,6,2,7,1,5
389,10GMP,GMP,GMP,8,6,6,3,2,3,4,2,1
390,9GMP,GMP,GMP,8,6,6,2,6,3,7,1,1
391,3Ery,Ery,Ery,2,8,5,1,7,1,6,0,0
392,13Baso,Baso,Baso,3,3,1,2,6,2,7,1,5
393,2Ery,Ery,Ery,1,10,3,1,1,1,5,0,0
394,13Baso,Baso,Baso,3,11,1,2,2,2,7,2,1
395,2Ery,Ery,Ery,1,10,3,1,1,1,5,0,0
396,6Ery,Ery,Ery,6,1,2,3,2,3,3,2,1
397,6Ery,Ery,Ery,6,3,2,3,2,3,3,2,1
398,13Baso,Baso,Baso,3,11,1,2,6,2,7,1,5
399,3Ery,Ery,Ery,2,5,5,1,7,1,6,0,0
400,13Baso,Baso,Baso,7,3,1,2,6,2,7,1,5
401,11DC,DC,DC,6,7,9,3,3,3,2,2,1
402,14Mo,Mo,Mo,4,3,4,2,5,2,1,1,5
403,10GMP,GMP,GMP,8,7,6,3,2,3,4,2,1
404,8Mk,Mk,Mk,6,1,7,3,2,3,4,2,1
405,9GMP,GMP,GMP,8,11,6,3,2,3,4,2,1
406,2Ery,Ery,Ery,1,8,3,1,1,1,5,0,0
407,13Baso,Baso,Baso,7,4,6,3,2,3,4,2,1
408,14Mo,Mo,Mo,3,11,1,2,6,2,7,1,5
409,13Baso,Baso,Baso,7,4,6,3,2,3,4,2,1
410,14Mo,Mo,Mo,3,11,1,2,6,2,7,1,5
411,5Ery,Ery,Ery,2,5,3,1,1,1,5,0,0
412,14Mo,Mo,Mo,7,11,1,2,6,2,7,1,5
413,5Ery,Ery,Ery,2,5,2,1,1,1,5,0,0
414,13Baso,Baso,Baso,3,11,1,2,6,2,7,1,5
415,12Baso,Baso,Baso,6,11,6,3,2,3,4,2,1
416,16Neu,Neu,Neu,4,9,4,2,5,2,1,1,5
417,11DC,DC,DC,6,7,9,3,8,3,2,2,1
418,13Baso,Baso,Baso,8,3,6,3,2,3,4,2,1
419,13Baso,Baso,Baso,3,3,1,2,6,2,7,1,5
