,celltype,protocol,SC3,CIDR,Seurat,tsne,SIMLR,SAFE,SAME,ctec_db_labels,ctec_ob_labels
D28-8_38,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-1_12,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-1_15,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-1_35,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-1_58,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-1_66,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-1_67,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-1_71,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-1_72,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-1_73,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-1_86,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-1_90,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-2_19,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-2_42,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-2_43,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-2_47,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-2_58,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-2_59,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-2_64,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-2_68,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-2_78,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-2_87,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-2_92,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-3_15,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-3_16,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-3_32,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-3_44,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-3_71,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-4_3,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-4_4,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-4_6,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-4_20,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-4_48,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-4_86,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-5_6,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-5_51,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-5_79,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-6_4,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-6_6,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-6_9,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-6_11,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-6_33,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-6_55,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-6_88,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-7_8,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-7_23,gamma,celseq2,5,3,5,11,10,1,2,1,1
D29-7_30,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-7_34,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-7_35,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-7_36,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-7_40,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-7_60,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-7_61,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-7_77,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-7_89,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-7_93,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-7_94,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-8_19,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-8_43,gamma,celseq2,5,1,14,11,9,6,15,1,3
D29-8_48,gamma,celseq2,5,1,14,11,9,6,15,1,3
D30-2_8,gamma,celseq2,5,1,14,11,9,6,15,1,3
D30-3_15,gamma,celseq2,5,1,14,11,9,6,15,1,3
D30-3_21,gamma,celseq2,5,1,14,11,9,6,15,1,3
D30-5_74,gamma,celseq2,5,1,14,11,9,6,15,1,3
D30-6_90,gamma,celseq2,5,1,14,11,9,6,15,1,3
D31-1_65,gamma,celseq2,5,1,14,11,9,6,15,1,3
D31-1_79,gamma,celseq2,5,1,14,11,9,6,15,1,3
D31-1_80,gamma,celseq2,5,1,14,11,9,6,15,1,3
D31-1_81,gamma,celseq2,5,1,14,11,9,6,15,1,3
D31-2_55,gamma,celseq2,5,1,14,11,9,6,15,1,3
D31-2_60,gamma,celseq2,5,1,14,11,9,6,15,1,3
D31-3_30,gamma,celseq2,5,1,14,11,9,6,15,1,3
D31-3_51,gamma,celseq2,5,1,14,11,9,6,15,1,3
D31-3_54,gamma,celseq2,5,1,14,11,9,6,15,1,3
D31-3_56,gamma,celseq2,5,1,14,11,9,6,15,1,3
D31-3_61,gamma,celseq2,5,1,14,11,9,6,15,1,3
D31-3_72,gamma,celseq2,5,1,14,11,9,6,15,1,3
D31-3_77,gamma,celseq2,5,1,14,11,9,6,15,1,3
D31-4_4,gamma,celseq2,5,1,14,11,9,6,15,1,3
D31-4_15,gamma,celseq2,5,1,14,11,9,6,15,1,3
D31-4_37,gamma,celseq2,5,1,14,11,9,6,15,1,3
D31-4_40,gamma,celseq2,5,1,14,11,9,6,15,1,3
D31-6_5,gamma,celseq2,5,1,14,11,9,6,15,1,3
D31-6_32,gamma,celseq2,5,1,14,11,9,6,15,1,3
D31-6_71,gamma,celseq2,5,1,14,11,9,6,15,1,3
D31-7_15,gamma,celseq2,5,1,11,11,9,6,15,1,3
D31-7_79,gamma,celseq2,5,1,14,11,9,6,15,1,3
D31-7_92,gamma,celseq2,5,1,14,11,9,6,15,1,3
D31-8_10,gamma,celseq2,5,1,14,11,9,6,15,1,3
D31-8_15,gamma,celseq2,5,1,14,11,9,6,15,1,3
D31-8_16,gamma,celseq2,5,1,14,11,9,6,15,1,3
D31-8_25,gamma,celseq2,5,2,14,11,9,4,15,1,2
D31-8_26,gamma,celseq2,5,1,14,11,9,6,15,1,3
D31-8_36,gamma,celseq2,5,1,14,11,9,6,15,1,3
D31-8_67,gamma,celseq2,5,1,14,11,9,6,15,1,3
D31-8_70,gamma,celseq2,5,1,14,11,9,6,15,1,3
D31-8_87,gamma,celseq2,5,1,14,11,9,6,15,1,3
10th_C58_S111,gamma,fluidigmc1,2,1,8,9,6,1,14,3,3
10th_C6_S88,gamma,fluidigmc1,2,1,8,9,6,1,14,3,3
10th_C78_S114,gamma,fluidigmc1,2,1,8,9,6,1,14,3,3
10th_C8_S52,gamma,fluidigmc1,2,1,8,9,6,1,14,3,2
11th-C10_S63,gamma,fluidigmc1,2,1,8,9,6,1,14,3,2
11th-C39_S21,gamma,fluidigmc1,2,1,8,9,6,1,14,3,3
3rd-C40_S57,gamma,fluidigmc1,2,1,8,9,6,1,14,3,2
3rd-C44_S32,gamma,fluidigmc1,2,1,8,9,6,1,14,3,2
3rd-C47_S35,gamma,fluidigmc1,2,1,8,9,6,1,14,3,2
3rd-C53_S67,gamma,fluidigmc1,2,1,8,9,6,1,14,3,2
5th-C9_S92,gamma,fluidigmc1,2,2,8,9,6,1,14,3,2
7th-C24_S40,gamma,fluidigmc1,2,1,8,9,6,1,14,3,2
7th-C82_S64,gamma,fluidigmc1,2,1,8,9,6,1,14,3,2
8th-C69_S119,gamma,fluidigmc1,2,1,8,9,6,1,14,3,2
8th-C91_S158,gamma,fluidigmc1,2,1,8,9,6,1,14,3,2
8th-C92_S157,gamma,fluidigmc1,2,1,8,9,6,1,14,3,1
9th-C66_S33,gamma,fluidigmc1,2,1,8,9,6,1,14,3,2
9th-C79_S57,gamma,fluidigmc1,2,1,8,9,6,1,14,3,3
AZ_A2,gamma,smartseq2,5,1,11,11,9,6,15,1,3
AZ_H5,gamma,smartseq2,5,1,11,11,9,6,15,1,3
AZ_G5,gamma,smartseq2,5,1,11,11,9,6,15,1,3
AZ_D8,gamma,smartseq2,5,1,11,11,9,6,15,1,3
AZ_D12,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1502401_H13,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1502401_L14,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1502401_K14,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1502401_F17,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1502401_E5,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1502401_E7,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1502401_B18,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1502401_K24,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1502401_K23,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1502401_F18,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1502401_G11,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1502401_G12,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1502401_N23,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1502401_B15,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1502401_N11,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1502401_N9,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1502401_F15,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1502401_B11,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1502401_I8,gamma,smartseq2,5,2,11,11,9,4,15,1,3
HP1504101T2D_B4,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_B10,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_G16,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_A15,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_K2,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_B22,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_G4,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_L13,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_B24,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_H14,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_A20,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_I7,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_E11,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_E18,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_L15,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_D17,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_A4,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_P9,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_F11,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_O4,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_E4,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_I16,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_D1,gamma,smartseq2,3,2,2,1,1,4,6,0,2
HP1504101T2D_D18,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_F2,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_I15,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_I10,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_E14,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_P24,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_E9,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_B17,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_N20,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_C12,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_I19,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_M1,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_A13,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_D21,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_B18,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_A17,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_E7,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_G3,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_C21,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_K8,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_D24,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_F14,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_B5,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_L24,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_B12,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_E8,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_L1,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_J3,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_G21,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_D15,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_D23,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_H1,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_D12,gamma,smartseq2,3,1,11,11,9,6,15,0,3
HP1504101T2D_F13,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_J9,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_H24,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_E20,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_P12,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_J22,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_O11,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_J5,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_G8,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_D11,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_O23,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_F20,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_M3,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_N16,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_A18,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504101T2D_F16,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504901_L12,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504901_N9,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504901_F15,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504901_G20,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504901_H19,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504901_B8,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504901_O1,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504901_F18,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504901_H14,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504901_F1,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504901_B20,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504901_O21,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504901_A5,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504901_L18,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504901_D9,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504901_K14,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504901_N15,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504901_B23,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504901_O5,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504901_J9,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504901_M4,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504901_B6,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504901_E23,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504901_O24,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504901_L3,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504901_I18,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504901_D24,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504901_I22,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504901_C14,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504901_C23,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504901_L9,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1504901_N23,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1506401_I2,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1506401_I1,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1506401_E3,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1506401_B22,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1506401_N7,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1506401_I14,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1506401_G8,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1506401_H12,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1506401_E12,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1506401_B4,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1506401_K23,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1506401_I17,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1506401_H11,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1506401_F14,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1506401_K22,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1506401_O6,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1506401_D9,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1506401_L17,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1506401_M6,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1506401_B3,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1506401_M24,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1506401_H19,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1507101_J9,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1507101_D19,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1507101_M22,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1507101_B20,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1507101_F9,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1508501T2D_A19,gamma,smartseq2,5,2,11,11,9,4,15,1,3
HP1508501T2D_K16,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1508501T2D_H18,gamma,smartseq2,5,2,11,11,9,4,15,1,3
HP1508501T2D_J17,gamma,smartseq2,5,2,2,11,9,4,15,1,2
HP1508501T2D_B10,gamma,smartseq2,5,2,11,11,9,4,15,1,2
HP1508501T2D_N18,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1508501T2D_F11,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1508501T2D_G22,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1508501T2D_P4,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1509101_F21,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1509101_O8,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1509101_G8,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1509101_K8,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1525301T2D_E19,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1525301T2D_B5,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1525301T2D_E3,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1525301T2D_G23,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1525301T2D_J18,gamma,smartseq2,5,2,11,11,9,4,15,1,2
HP1525301T2D_B8,gamma,smartseq2,5,2,11,11,9,4,15,1,3
HP1525301T2D_A16,gamma,smartseq2,5,2,11,11,9,4,15,1,2
HP1525301T2D_D12,gamma,smartseq2,5,2,11,11,9,4,15,1,3
HP1525301T2D_N21,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1525301T2D_O11,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1526901T2D_K12,gamma,smartseq2,5,2,11,11,9,4,15,1,2
HP1526901T2D_A20,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1526901T2D_C13,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1526901T2D_C19,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1526901T2D_H23,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1526901T2D_K11,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1526901T2D_L14,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1526901T2D_L7,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1526901T2D_G1,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1526901T2D_N18,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1526901T2D_H16,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1526901T2D_K21,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1526901T2D_P23,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1526901T2D_N20,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1526901T2D_I24,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1526901T2D_A15,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1526901T2D_D10,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1526901T2D_O3,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1526901T2D_E4,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1526901T2D_F12,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1526901T2D_O10,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1526901T2D_E10,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1526901T2D_L12,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1526901T2D_M22,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1526901T2D_F20,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1526901T2D_G19,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1526901T2D_D14,gamma,smartseq2,5,2,11,11,9,4,15,1,3
HP1526901T2D_E5,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1526901T2D_G9,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1526901T2D_B13,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1526901T2D_H3,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1526901T2D_J17,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1526901T2D_N19,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1526901T2D_M3,gamma,smartseq2,5,1,11,11,9,6,15,1,3
HP1526901T2D_F7,gamma,smartseq2,5,1,11,11,9,6,15,1,3
D101_7,acinar,celseq,2,3,5,7,10,1,2,3,1
D101_50,acinar,celseq,2,3,5,7,10,1,2,3,1
D101_51,acinar,celseq,2,3,5,7,10,1,2,3,1
D101_52,acinar,celseq,2,3,5,7,10,1,2,3,1
D101_74,acinar,celseq,2,3,5,7,10,1,2,3,1
D101_82,acinar,celseq,2,3,5,7,10,1,2,3,1
D102_26,acinar,celseq,2,3,5,7,10,1,2,3,1
D102_51,acinar,celseq,2,3,5,7,10,1,2,3,1
D102_54,acinar,celseq,2,3,5,7,10,1,2,3,1
D102_69,acinar,celseq,2,3,5,7,10,1,2,3,1
D102_71,acinar,celseq,2,3,5,7,10,1,2,3,1
D102_76,acinar,celseq,2,3,13,7,10,1,2,3,1
D102_91,acinar,celseq,2,3,13,7,10,1,2,3,1
D10631_15,acinar,celseq,2,3,5,7,10,1,2,3,1
D10631_17,acinar,celseq,2,3,5,7,10,1,2,3,1
D10631_38,acinar,celseq,2,3,5,7,10,1,2,3,1
D10631_48,acinar,celseq,2,3,5,7,10,1,2,3,1
D10631_50,acinar,celseq,2,4,5,7,10,2,2,3,1
D10631_53,acinar,celseq,2,3,5,7,10,1,2,3,1
